lsoa11,Trips per hour (2006/08),Trips per hour (2010),Trips per hour (2023),Trips per hour change: 2006/08-2023,Trips per hour change: 2010-2023,Trips per hour % change: 2006/08-2023,Trips per hour % change: 2010-2023,Trips per hour change rank (2006/08-2023),Trips per hour change rank (2010-2023)
S01010269,652,481,130,-522,-351,-80.1%,-73.0%,"2,021","3,182"
S01010270,"1,128",838,250,-879,-588,-77.9%,-70.2%,"2,786","4,280"
S01010271,815,658,192,-623,-466,-76.4%,-70.8%,"3,336","4,039"
S01010272,530,440,140,-390,-300,-73.6%,-68.2%,"4,542","5,151"
S01010273,789,629,195,-594,-434,-75.3%,-69.0%,"3,766","4,774"
S01010274,813,665,209,-604,-456,-74.3%,-68.6%,"4,210","4,986"
S01010275,"1,208",956,290,-918,-665,-76.0%,-69.6%,"3,491","4,505"
S01010276,217,199,63,-154,-136,-70.9%,-68.4%,"5,726","5,055"
S01010277,227,206,57,-170,-149,-74.8%,-72.2%,"4,003","3,467"
S01010278,188,159,42,-146,-118,-77.9%,-73.9%,"2,779","2,896"
S01010279,136,134,27,-109,-107,-80.3%,-80.0%,"1,937","1,141"
S01010280,187,164,39,-147,-125,-78.9%,-76.0%,"2,436","2,175"
S01010281,187,164,39,-147,-125,-78.9%,-76.0%,"2,432","2,175"
S01010282,116,116,23,-93,-93,-80.1%,-80.2%,"2,005","1,110"
S01010283,125,119,27,-98,-92,-78.3%,-77.3%,"2,624","1,805"
S01010284,104,95,25,-79,-70,-76.0%,-73.7%,"3,468","2,949"
S01010285,114,115,19,-96,-96,-83.5%,-83.6%,"1,093",609
S01010286,95,86,19,-76,-67,-80.1%,-78.1%,"1,999","1,621"
S01010287,98,87,19,-79,-68,-80.7%,-78.4%,"1,803","1,542"
S01010288,112,91,19,-93,-72,-83.1%,-79.3%,"1,162","1,308"
S01010289,222,199,44,-178,-155,-80.3%,-78.0%,"1,937","1,634"
S01010290,228,229,47,-181,-182,-79.2%,-79.3%,"2,324","1,296"
S01010291,99,82,26,-73,-57,-74.0%,-68.8%,"4,342","4,853"
S01010292,162,146,36,-126,-110,-77.7%,-75.2%,"2,839","2,426"
S01010293,228,229,47,-181,-182,-79.3%,-79.3%,"2,316","1,296"
S01010294,166,148,36,-129,-111,-78.2%,-75.5%,"2,679","2,307"
S01010295,199,188,42,-157,-146,-78.9%,-77.7%,"2,440","1,728"
S01010296,239,239,54,-185,-186,-77.5%,-77.6%,"2,915","1,742"
S01010297,175,152,45,-130,-108,-74.4%,-70.7%,"4,160","4,088"
S01010298,170,147,36,-134,-111,-78.8%,-75.4%,"2,462","2,330"
S01010299,208,171,50,-158,-121,-75.8%,-70.7%,"3,553","4,071"
S01010300,208,171,50,-157,-121,-75.8%,-70.6%,"3,575","4,095"
S01010301,175,152,44,-131,-109,-75.0%,-71.3%,"3,945","3,819"
S01010302,175,152,45,-130,-108,-74.4%,-70.7%,"4,155","4,071"
S01010303,175,152,45,-130,-107,-74.2%,-70.5%,"4,250","4,191"
S01010304,105,89,34,-71,-55,-68.0%,-62.3%,"7,092","7,893"
S01010305,141,128,30,-111,-99,-79.0%,-76.9%,"2,406","1,903"
S01010306,145,128,30,-114,-98,-79.1%,-76.5%,"2,365","2,034"
S01010307,154,135,33,-121,-102,-78.8%,-75.8%,"2,469","2,238"
S01010308,162,146,36,-126,-110,-77.9%,-75.4%,"2,764","2,330"
S01010309,48,31,18,-30,-12,-61.6%,-39.6%,"10,233","19,615"
S01010310,45,30,18,-27,-12,-59.2%,-39.5%,"11,377","19,651"
S01010311,47,37,21,-26,-16,-55.2%,-43.2%,"13,476","17,747"
S01010312,42,32,19,-22,-13,-53.9%,-39.5%,"14,140","19,638"
S01010313,81,63,29,-53,-35,-64.6%,-54.5%,"8,715","11,835"
S01010314,72,65,19,-52,-45,-72.9%,-69.9%,"4,813","4,409"
S01010315,90,75,24,-66,-51,-73.6%,-68.4%,"4,527","5,076"
S01010316,89,78,25,-64,-53,-72.3%,-68.4%,"5,108","5,069"
S01010317,165,145,35,-130,-110,-78.7%,-75.8%,"2,484","2,219"
S01010318,90,78,25,-66,-53,-72.9%,-68.5%,"4,837","4,991"
S01010319,93,78,25,-68,-53,-73.0%,-67.9%,"4,789","5,294"
S01010320,93,78,25,-68,-53,-73.0%,-68.0%,"4,775","5,250"
S01010321,93,78,25,-68,-53,-73.0%,-68.0%,"4,775","5,250"
S01010322,164,143,35,-129,-108,-78.6%,-75.4%,"2,541","2,364"
S01010323,42,32,19,-22,-12,-53.9%,-39.4%,"14,140","19,726"
S01010324,29,19,13,-15,-6,-53.5%,-31.4%,"14,382","23,515"
S01010325,43,32,19,-24,-13,-56.1%,-40.3%,"13,047","19,196"
S01010326,40,30,19,-21,-11,-52.4%,-36.8%,"14,940","21,001"
S01010327,22,19,10,-12,-10,-54.8%,-49.5%,"13,686","14,599"
S01010328,42,32,19,-23,-13,-54.5%,-40.4%,"13,857","19,109"
S01010329,98,83,28,-70,-55,-71.4%,-66.2%,"5,533","6,029"
S01010330,35,23,11,-24,-12,-69.2%,-53.8%,"6,573","12,209"
S01010331,34,24,16,-19,-8,-54.2%,-34.8%,"14,005","21,912"
S01010332,24,15,10,-14,-5,-58.7%,-33.6%,"11,652","22,521"
S01010333,23,21,12,-11,-9,-48.2%,-42.6%,"17,250","18,016"
S01010334,45,32,17,-29,-16,-63.3%,-49.0%,"9,300","14,800"
S01010335,35,23,11,-24,-12,-69.2%,-53.8%,"6,554","12,209"
S01010336,32,20,8,-24,-12,-73.5%,-58.5%,"4,554","9,770"
S01010337,32,20,8,-24,-12,-73.6%,-58.5%,"4,546","9,770"
S01010338,32,20,8,-24,-12,-73.6%,-58.5%,"4,546","9,770"
S01010339,32,20,8,-24,-12,-73.5%,-58.5%,"4,554","9,770"
S01010340,13,12,14,1,2,4.2%,13.2%,"36,228","36,833"
S01010341,30,23,13,-17,-10,-56.0%,-41.6%,"13,059","18,542"
S01010342,33,26,14,-19,-12,-58.7%,-47.4%,"11,645","15,646"
S01010343,30,23,13,-17,-10,-55.6%,-41.6%,"13,239","18,542"
S01010344,28,18,7,-20,-11,-73.8%,-60.8%,"4,456","8,610"
S01010345,52,38,19,-33,-19,-63.8%,-50.6%,"9,090","13,959"
S01010346,90,77,27,-63,-50,-70.4%,-65.3%,"5,975","6,460"
S01010347,90,77,27,-63,-50,-70.3%,-65.2%,"5,997","6,504"
S01010348,30,23,13,-17,-10,-56.0%,-41.6%,"13,059","18,542"
S01010349,92,78,27,-65,-51,-70.7%,-65.7%,"5,848","6,292"
S01010350,13,12,8,-5,-4,-39.7%,-34.6%,"21,664","22,016"
S01010351,19,19,11,-9,-8,-45.5%,-42.7%,"18,717","17,962"
S01010352,21,18,16,-4,-2,-20.8%,-11.9%,"29,715","31,230"
S01010353,90,80,27,-63,-53,-70.1%,-66.1%,"6,122","6,065"
