lsoa11,Trips per hour (2006/08),Trips per hour (2010),Trips per hour (2023),Trips per hour change: 2006/08-2023,Trips per hour change: 2010-2023,Trips per hour % change: 2006/08-2023,Trips per hour % change: 2010-2023,Trips per hour change rank (2006/08-2023),Trips per hour change rank (2010-2023)
E01000001,246,260,213,-33,-47,-13.5%,-18.1%,"31,952","29,128"
E01000002,265,242,203,-62,-39,-23.3%,-16.0%,"28,800","29,849"
E01000003,104,105,91,-13,-14,-12.6%,-13.1%,"32,191","30,828"
E01000005,207,193,139,-68,-54,-32.7%,-27.9%,"24,870","25,101"
E01000006,102,98,148,46,50,44.4%,51.0%,"40,060","40,144"
E01000007,103,100,148,45,48,43.5%,47.6%,"40,003","39,981"
E01000008,107,96,107,0,11,-0.3%,11.0%,"35,353","36,526"
E01000009,102,98,148,46,50,44.7%,51.0%,"40,081","40,141"
E01000010,103,100,148,45,48,43.5%,47.7%,"40,004","39,988"
E01000011,102,98,148,46,50,44.7%,51.0%,"40,081","40,142"
E01000012,63,60,62,-1,2,-2.2%,2.5%,"34,914","35,043"
E01000013,63,63,82,20,20,31.6%,31.6%,"39,295","38,941"
E01000014,63,63,82,20,20,31.6%,31.6%,"39,291","38,938"
E01000015,63,63,82,20,20,31.6%,31.6%,"39,295","38,941"
E01000016,43,43,54,11,11,25.7%,25.7%,"38,768","38,364"
E01000017,65,65,86,21,21,32.9%,32.9%,"39,412","39,033"
E01000018,54,54,73,19,19,35.5%,35.5%,"39,610","39,244"
E01000019,49,81,53,4,-28,8.5%,-35.0%,"36,857","21,854"
E01000020,66,66,92,26,26,38.5%,39.2%,"39,760","39,493"
E01000021,43,43,78,35,35,82.8%,82.6%,"41,253","41,088"
E01000022,45,45,63,19,19,42.0%,41.5%,"39,927","39,631"
E01000023,43,43,78,36,35,83.4%,83.1%,"41,259","41,097"
E01000024,55,55,80,25,25,45.3%,44.9%,"40,111","39,814"
E01000025,50,50,72,22,22,44.0%,43.5%,"40,026","39,736"
E01000027,29,29,41,12,12,40.6%,40.5%,"39,848","39,589"
E01000028,28,28,44,17,17,59.7%,59.6%,"40,679","40,457"
E01000029,28,28,44,16,16,58.9%,58.9%,"40,646","40,433"
E01000030,28,28,44,16,16,59.0%,59.1%,"40,654","40,441"
E01000031,43,43,75,31,31,72.1%,72.3%,"41,022","40,876"
E01000032,49,49,79,29,29,59.6%,59.5%,"40,677","40,452"
E01000033,23,23,39,16,16,72.4%,72.1%,"41,033","40,867"
E01000034,26,26,26,1,1,2.6%,2.6%,"35,921","35,053"
E01000035,33,33,55,22,22,65.9%,65.0%,"40,869","40,643"
E01000036,20,21,29,8,8,40.5%,39.6%,"39,844","39,529"
E01000037,79,82,122,43,40,54.1%,49.0%,"40,481","40,044"
E01000038,64,71,74,10,2,15.9%,3.2%,"37,811","35,170"
E01000039,26,26,44,19,19,72.6%,72.6%,"41,039","40,885"
E01000040,26,26,38,12,12,46.4%,46.4%,"40,157","39,901"
E01000041,19,19,26,7,7,37.0%,36.9%,"39,689","39,334"
E01000042,35,35,56,21,21,60.2%,60.2%,"40,691","40,473"
E01000043,61,61,146,85,85,138.6%,138.6%,"41,554","41,504"
E01000044,102,98,148,46,50,44.8%,51.2%,"40,088","40,156"
E01000045,35,35,56,21,21,61.3%,59.8%,"40,732","40,465"
E01000046,35,35,56,21,21,61.1%,59.5%,"40,726","40,453"
E01000048,61,61,146,85,85,138.3%,138.3%,"41,552","41,502"
E01000049,61,61,146,85,85,138.5%,138.5%,"41,553","41,503"
E01000050,70,70,110,40,40,56.7%,56.7%,"40,562","40,366"
E01000051,102,98,148,46,50,44.5%,50.9%,"40,063","40,139"
E01000052,56,56,137,82,82,145.7%,145.7%,"41,572","41,533"
E01000053,62,62,76,14,14,22.8%,22.8%,"38,517","38,055"
E01000054,27,27,41,14,14,51.8%,50.4%,"40,382","40,106"
E01000055,35,35,56,21,21,58.5%,58.5%,"40,634","40,419"
E01000056,25,25,40,15,15,58.5%,58.5%,"40,629","40,418"
E01000057,19,19,24,5,5,25.3%,25.3%,"38,735","38,326"
E01000058,14,14,17,4,4,25.6%,25.5%,"38,766","38,345"
E01000059,42,56,64,21,8,50.8%,14.2%,"40,350","36,984"
E01000060,67,81,94,27,13,40.2%,15.5%,"39,828","37,177"
E01000061,67,81,94,27,13,40.4%,15.5%,"39,842","37,188"
E01000062,72,72,96,24,24,33.5%,33.5%,"39,467","39,088"
E01000063,64,78,84,20,6,31.7%,7.5%,"39,309","35,947"
E01000064,25,25,42,17,17,69.2%,69.2%,"40,955","40,776"
E01000065,60,60,81,21,21,34.3%,34.3%,"39,512","39,150"
E01000066,43,43,78,36,36,83.5%,83.3%,"41,262","41,100"
E01000067,44,45,85,41,40,91.2%,90.8%,"41,368","41,217"
E01000068,81,81,137,56,56,70.1%,70.1%,"40,968","40,797"
E01000069,44,44,85,41,41,91.7%,91.4%,"41,379","41,223"
E01000070,44,44,85,41,41,91.6%,91.6%,"41,377","41,227"
E01000071,26,26,38,12,12,46.4%,46.4%,"40,157","39,895"
E01000072,19,19,26,7,7,36.9%,36.9%,"39,686","39,331"
E01000073,28,28,33,6,6,20.8%,20.7%,"38,343","37,842"
E01000074,36,36,51,15,15,42.0%,41.7%,"39,926","39,635"
E01000075,19,19,24,5,5,25.4%,25.4%,"38,744","38,337"
E01000076,28,28,33,6,6,21.0%,21.0%,"38,367","37,872"
E01000077,46,46,70,24,24,52.1%,51.6%,"40,394","40,173"
E01000078,46,46,70,24,24,52.2%,51.8%,"40,397","40,181"
E01000079,54,54,73,19,19,35.3%,35.3%,"39,593","39,235"
E01000080,46,46,70,24,24,52.0%,51.5%,"40,386","40,169"
E01000081,46,46,70,24,24,52.2%,51.9%,"40,397","40,182"
E01000082,27,27,42,16,16,57.7%,57.9%,"40,598","40,398"
E01000083,55,55,80,25,25,45.3%,44.9%,"40,111","39,813"
E01000084,63,63,82,20,20,31.3%,31.3%,"39,265","38,920"
E01000085,63,63,83,20,20,31.4%,31.4%,"39,277","38,927"
E01000086,62,62,76,14,14,22.7%,22.7%,"38,513","38,050"
E01000087,68,68,87,18,18,27.1%,27.1%,"38,893","38,512"
E01000088,62,62,76,14,14,22.9%,22.9%,"38,530","38,078"
E01000089,46,46,62,16,16,35.1%,34.4%,"39,577","39,159"
E01000090,37,37,58,21,21,55.6%,54.7%,"40,526","40,275"
E01000091,42,42,120,78,78,183.7%,183.7%,"41,619","41,598"
E01000092,40,40,116,76,76,189.4%,189.4%,"41,624","41,606"
E01000093,48,48,127,79,79,163.6%,163.6%,"41,596","41,568"
E01000094,26,26,61,36,36,137.2%,137.2%,"41,548","41,498"
E01000095,38,38,111,73,73,191.2%,191.2%,"41,627","41,609"
E01000096,52,52,126,74,74,141.1%,141.1%,"41,561","41,512"
E01000097,52,51,69,17,18,32.7%,34.6%,"39,401","39,180"
E01000098,52,51,69,17,18,32.6%,34.5%,"39,392","39,177"
E01000099,52,51,69,17,18,32.7%,34.6%,"39,398","39,186"
E01000100,62,62,24,-37,-37,-60.2%,-60.2%,"10,891","8,895"
E01000101,57,71,84,27,12,46.6%,17.3%,"40,166","37,427"
E01000102,69,64,95,26,32,38.5%,49.6%,"39,751","40,060"
E01000103,29,29,38,9,9,30.5%,30.1%,"39,202","38,824"
E01000104,29,29,38,9,9,30.7%,30.1%,"39,224","38,821"
E01000105,63,63,82,20,20,31.8%,31.8%,"39,321","38,961"
E01000106,29,29,38,9,9,30.7%,30.0%,"39,229","38,805"
E01000107,20,20,29,8,8,40.9%,40.0%,"39,872","39,557"
E01000108,29,29,38,9,9,30.7%,30.1%,"39,232","38,824"
E01000109,57,68,63,6,-4,11.4%,-6.5%,"37,294","32,824"
E01000110,41,41,72,31,31,77.1%,75.8%,"41,139","40,965"
E01000111,43,43,72,29,29,68.3%,68.1%,"40,930","40,741"
E01000112,49,49,81,32,32,65.0%,64.9%,"40,843","40,638"
E01000113,49,49,78,29,29,59.5%,59.3%,"40,671","40,449"
E01000114,57,71,81,24,10,42.2%,13.5%,"39,941","36,880"
E01000115,48,48,60,12,12,25.3%,26.2%,"38,732","38,418"
E01000116,30,29,47,17,18,55.1%,60.9%,"40,506","40,496"
E01000117,30,29,47,17,18,55.4%,61.3%,"40,512","40,512"
E01000118,30,29,47,17,18,55.4%,61.4%,"40,514","40,514"
E01000119,81,75,95,14,20,16.8%,26.5%,"37,909","38,445"
E01000120,48,48,60,12,12,25.3%,26.2%,"38,738","38,418"
E01000121,53,51,77,24,26,45.3%,50.3%,"40,113","40,102"
E01000122,17,17,28,10,10,59.4%,60.8%,"40,666","40,494"
E01000123,52,51,64,12,13,23.8%,24.6%,"38,610","38,265"
E01000124,73,74,86,13,12,17.4%,15.8%,"37,983","37,226"
E01000125,83,106,127,44,21,52.6%,19.8%,"40,409","37,737"
E01000126,24,24,41,17,17,72.4%,72.4%,"41,031","40,877"
E01000127,58,61,74,16,13,28.6%,21.2%,"39,028","37,888"
E01000128,94,95,120,25,25,26.7%,25.8%,"38,871","38,375"
E01000129,79,95,93,14,-2,18.2%,-2.0%,"38,087","33,986"
E01000130,37,37,62,25,25,67.5%,67.5%,"40,910","40,726"
E01000131,60,69,98,38,30,63.4%,43.2%,"40,804","39,717"
E01000132,58,57,81,23,24,40.5%,41.8%,"39,844","39,639"
E01000133,53,57,81,28,24,53.7%,42.4%,"40,459","39,682"
E01000134,82,102,101,19,-1,23.5%,-1.4%,"38,579","34,151"
E01000135,155,162,206,50,44,32.3%,27.3%,"39,357","38,542"
E01000136,206,206,209,3,3,1.4%,1.5%,"35,725","34,832"
E01000137,122,121,133,11,12,9.1%,9.9%,"36,944","36,320"
E01000138,63,64,90,27,26,43.9%,40.3%,"40,020","39,579"
E01000139,111,111,113,2,2,1.7%,1.7%,"35,772","34,877"
E01000140,111,111,113,2,2,1.7%,1.7%,"35,767","34,878"
E01000141,159,142,147,-13,4,-7.9%,3.2%,"33,499","35,150"
E01000142,176,159,167,-9,8,-4.9%,5.1%,"34,255","35,512"
E01000143,163,146,153,-9,7,-5.8%,4.9%,"34,022","35,493"
E01000144,206,206,213,7,8,3.6%,3.7%,"36,114","35,270"
E01000145,83,84,107,24,23,29.0%,27.8%,"39,057","38,600"
E01000146,206,206,213,7,8,3.6%,3.7%,"36,120","35,267"
E01000147,49,49,74,25,25,52.0%,50.4%,"40,387","40,104"
E01000148,60,63,79,19,16,31.7%,25.8%,"39,304","38,373"
E01000150,53,56,84,31,28,57.3%,49.6%,"40,581","40,063"
E01000151,34,34,54,21,21,61.9%,61.9%,"40,753","40,543"
E01000152,44,44,65,21,21,47.4%,47.4%,"40,212","39,954"
E01000153,44,44,70,26,26,57.9%,57.9%,"40,610","40,401"
E01000154,24,24,59,35,35,149.1%,149.1%,"41,579","41,541"
E01000155,24,24,59,35,35,148.9%,148.9%,"41,578","41,540"
E01000156,70,65,57,-13,-8,-18.1%,-12.6%,"30,640","30,992"
E01000157,43,36,46,3,10,7.2%,28.7%,"36,680","38,685"
E01000158,99,96,92,-7,-3,-7.2%,-3.5%,"33,689","33,575"
E01000159,58,55,48,-10,-7,-17.5%,-13.2%,"30,821","30,781"
E01000160,96,91,100,3,9,3.4%,10.1%,"36,083","36,351"
E01000161,74,71,69,-5,-2,-7.2%,-2.7%,"33,686","33,799"
E01000162,73,69,68,-5,-2,-7.3%,-2.7%,"33,662","33,790"
E01000163,55,52,45,-10,-6,-18.3%,-12.4%,"30,562","31,050"
E01000164,55,51,45,-10,-6,-18.9%,-12.5%,"30,376","31,025"
E01000165,79,75,74,-4,-1,-5.2%,-1.4%,"34,190","34,140"
E01000166,20,18,18,-2,0,-11.2%,0.2%,"32,583","34,556"
E01000167,42,41,64,22,23,51.8%,54.5%,"40,379","40,268"
E01000168,31,35,35,4,0,13.7%,0.5%,"37,579","34,607"
E01000169,46,48,64,19,16,40.8%,32.5%,"39,869","39,007"
E01000170,42,41,55,13,13,30.7%,31.4%,"39,224","38,925"
E01000171,55,64,78,22,14,40.6%,21.0%,"39,852","37,873"
E01000172,28,32,30,2,-2,5.6%,-6.0%,"36,461","32,961"
E01000173,42,42,55,13,13,30.9%,31.3%,"39,239","38,914"
E01000174,42,42,55,13,13,30.8%,31.3%,"39,234","38,914"
E01000175,27,27,40,13,13,46.1%,48.9%,"40,141","40,041"
E01000176,34,35,64,30,29,86.6%,82.0%,"41,314","41,069"
E01000177,22,22,38,15,16,70.2%,71.6%,"40,970","40,845"
E01000178,46,45,60,14,15,29.9%,33.9%,"39,134","39,110"
E01000179,39,28,57,18,29,45.0%,102.5%,"40,096","41,343"
E01000180,46,45,60,14,15,29.9%,34.1%,"39,137","39,125"
E01000181,46,45,60,14,15,30.1%,34.1%,"39,161","39,129"
E01000182,46,45,60,14,15,29.7%,33.5%,"39,119","39,085"
E01000183,27,28,36,8,8,29.6%,27.7%,"39,109","38,583"
E01000184,24,24,46,22,22,95.0%,88.8%,"41,414","41,188"
E01000185,39,28,57,18,29,45.1%,103.3%,"40,100","41,349"
E01000186,62,56,81,19,24,30.4%,43.1%,"39,186","39,714"
E01000187,27,27,48,22,22,81.1%,81.1%,"41,220","41,057"
E01000188,59,61,78,19,17,32.0%,28.4%,"39,332","38,658"
E01000189,35,34,26,-9,-8,-26.5%,-24.5%,"27,527","26,586"
E01000190,62,58,72,11,14,17.2%,23.9%,"37,952","38,197"
E01000191,77,73,101,24,29,31.6%,39.2%,"39,297","39,495"
E01000192,123,153,192,69,38,56.2%,24.9%,"40,553","38,293"
E01000193,162,153,192,29,38,18.1%,25.0%,"38,072","38,304"
E01000194,163,166,204,41,37,24.8%,22.5%,"38,689","38,029"
E01000195,5,5,18,13,13,243.2%,243.2%,"41,653","41,644"
E01000196,60,61,81,21,20,35.3%,33.5%,"39,587","39,085"
E01000197,66,67,100,34,33,51.8%,49.7%,"40,381","40,068"
E01000198,28,28,59,31,31,112.4%,112.4%,"41,486","41,393"
E01000199,40,40,66,26,26,66.6%,64.5%,"40,888","40,629"
E01000200,52,53,74,22,21,41.4%,38.8%,"39,901","39,466"
E01000201,60,61,106,46,45,76.6%,74.0%,"41,131","40,923"
E01000202,73,72,106,33,34,46.0%,47.9%,"40,140","39,996"
E01000203,51,53,73,22,20,42.2%,38.7%,"39,942","39,452"
E01000204,68,69,88,20,19,30.1%,27.5%,"39,162","38,562"
E01000205,24,24,38,14,14,58.8%,56.6%,"40,644","40,361"
E01000206,42,42,46,4,4,8.8%,10.5%,"36,902","36,430"
E01000207,19,18,19,1,1,4.2%,5.1%,"36,223","35,514"
E01000208,51,50,64,14,15,26.7%,30.0%,"38,867","38,800"
E01000209,40,41,41,1,0,2.3%,-0.1%,"35,880","34,454"
E01000210,34,34,55,21,21,61.8%,61.1%,"40,747","40,505"
E01000211,45,47,60,15,13,32.5%,27.9%,"39,381","38,606"
E01000212,41,42,42,1,0,2.0%,-0.3%,"35,819","34,398"
E01000213,17,17,19,1,1,7.0%,8.1%,"36,663","36,045"
E01000214,206,206,213,7,8,3.6%,3.7%,"36,117","35,265"
E01000215,49,53,87,37,34,76.0%,63.8%,"41,111","40,603"
E01000216,88,89,109,22,20,24.7%,23.0%,"38,682","38,094"
E01000217,45,47,60,14,13,31.8%,27.3%,"39,322","38,544"
E01000218,88,89,123,35,34,39.8%,37.9%,"39,813","39,393"
E01000219,122,96,138,16,42,12.9%,43.9%,"37,475","39,763"
E01000220,58,60,96,38,36,64.8%,59.6%,"40,839","40,460"
E01000221,173,165,200,27,36,15.6%,21.5%,"37,795","37,937"
E01000222,59,58,66,7,8,11.4%,13.5%,"37,286","36,875"
E01000223,148,144,146,-2,2,-1.5%,1.5%,"35,075","34,841"
E01000224,59,58,66,7,8,11.3%,13.5%,"37,275","36,879"
E01000225,41,42,55,14,13,34.9%,31.7%,"39,561","38,952"
E01000226,26,27,19,-7,-8,-27.0%,-29.5%,"27,363","24,408"
E01000227,43,43,145,102,102,240.1%,240.1%,"41,652","41,642"
E01000228,32,29,39,6,10,19.3%,33.3%,"38,209","39,062"
E01000229,27,27,48,22,22,81.7%,81.7%,"41,232","41,064"
E01000230,67,68,90,23,21,33.7%,30.8%,"39,480","38,873"
E01000231,41,38,51,10,12,24.3%,31.9%,"38,658","38,970"
E01000232,66,57,79,13,22,19.2%,37.9%,"38,193","39,397"
E01000233,50,53,60,10,7,19.6%,13.3%,"38,230","36,849"
E01000234,78,79,103,25,24,31.5%,30.6%,"39,280","38,865"
E01000235,61,65,93,32,28,52.2%,43.0%,"40,399","39,710"
E01000236,47,49,93,46,44,96.6%,89.0%,"41,429","41,191"
E01000237,72,72,133,61,61,84.9%,84.9%,"41,287","41,131"
E01000238,52,52,111,60,60,115.5%,115.5%,"41,495","41,413"
E01000239,46,46,112,66,66,142.8%,142.8%,"41,564","41,518"
E01000240,18,15,17,-1,2,-3.6%,15.4%,"34,572","37,164"
E01000241,34,34,99,65,65,190.6%,190.6%,"41,626","41,608"
E01000242,39,39,86,47,47,120.5%,120.5%,"41,506","41,435"
E01000243,39,39,86,47,47,120.9%,120.9%,"41,509","41,438"
E01000244,55,55,119,65,65,118.2%,118.2%,"41,502","41,430"
E01000245,51,53,99,48,46,94.7%,87.8%,"41,410","41,170"
E01000246,105,99,122,16,23,15.5%,23.2%,"37,784","38,122"
E01000247,32,32,78,46,46,143.4%,143.4%,"41,565","41,521"
E01000248,108,97,117,9,21,8.5%,21.6%,"36,863","37,942"
E01000249,45,46,40,-5,-6,-10.2%,-12.1%,"32,896","31,174"
E01000250,115,103,124,9,21,8.2%,20.7%,"36,817","37,845"
E01000251,55,64,78,23,13,40.7%,21.0%,"39,862","37,870"
E01000252,105,99,121,16,23,15.6%,23.0%,"37,787","38,087"
E01000253,45,38,31,-13,-7,-29.6%,-18.2%,"26,254","29,074"
E01000254,54,43,42,-12,-1,-21.7%,-1.6%,"29,412","34,082"
E01000255,19,19,21,2,2,11.8%,11.2%,"37,336","36,570"
E01000256,24,27,27,3,0,10.5%,0.9%,"37,167","34,701"
E01000257,26,26,28,2,2,8.4%,7.6%,"36,846","35,965"
E01000258,74,75,97,23,22,31.6%,29.1%,"39,293","38,734"
E01000259,26,26,28,2,2,8.7%,8.1%,"36,884","36,047"
E01000260,32,34,34,3,0,9.1%,1.2%,"36,946","34,774"
E01000261,18,18,24,6,6,33.6%,33.6%,"39,470","39,094"
E01000262,19,19,28,9,9,49.7%,48.7%,"40,306","40,031"
E01000263,55,52,70,15,18,27.2%,34.2%,"38,912","39,137"
E01000264,101,98,119,18,21,18.2%,21.5%,"38,085","37,931"
E01000265,46,45,59,14,14,30.5%,31.7%,"39,207","38,954"
E01000266,46,45,59,14,14,30.4%,31.6%,"39,194","38,939"
E01000267,75,75,97,21,21,28.4%,28.3%,"39,007","38,649"
E01000268,105,98,121,16,23,15.6%,23.2%,"37,788","38,111"
E01000269,90,84,78,-12,-6,-13.1%,-7.0%,"32,063","32,681"
E01000270,105,98,120,15,22,14.5%,22.2%,"37,662","38,004"
E01000271,50,50,62,12,12,24.1%,23.8%,"38,634","38,175"
E01000272,66,67,96,29,29,43.7%,43.3%,"40,011","39,728"
E01000273,66,67,96,29,29,43.9%,43.6%,"40,022","39,742"
E01000274,33,32,48,15,16,44.4%,48.9%,"40,057","40,040"
E01000275,12,12,19,7,7,57.4%,57.3%,"40,584","40,383"
E01000276,19,20,30,11,10,59.1%,52.8%,"40,657","40,207"
E01000277,44,45,70,27,25,60.4%,56.0%,"40,702","40,340"
E01000278,19,20,30,11,10,58.1%,52.2%,"40,619","40,190"
E01000279,10,10,17,7,7,76.9%,72.8%,"41,135","40,890"
E01000280,19,19,34,15,15,79.8%,79.0%,"41,189","41,023"
E01000281,66,67,96,29,29,44.1%,43.6%,"40,038","39,738"
E01000282,67,67,96,29,29,44.0%,43.5%,"40,033","39,737"
E01000283,9,9,16,7,7,75.0%,74.9%,"41,086","40,942"
E01000284,34,35,66,32,31,92.9%,86.0%,"41,386","41,149"
E01000285,19,19,34,16,16,86.2%,82.6%,"41,309","41,089"
E01000286,52,46,63,10,16,19.8%,35.3%,"38,254","39,235"
E01000287,19,19,34,16,16,85.4%,82.0%,"41,294","41,071"
E01000288,89,83,78,-11,-6,-12.7%,-6.8%,"32,174","32,733"
E01000289,101,95,118,16,23,16.2%,23.9%,"37,851","38,186"
E01000290,43,40,36,-7,-4,-16.4%,-10.6%,"31,141","31,591"
E01000291,22,21,41,20,20,90.6%,95.3%,"41,360","41,274"
E01000292,114,102,124,9,21,8.1%,20.9%,"36,799","37,863"
E01000293,105,99,121,16,23,15.6%,23.1%,"37,790","38,108"
E01000294,63,58,63,0,5,-0.5%,8.7%,"35,303","36,141"
E01000295,60,61,81,21,20,34.9%,33.0%,"39,556","39,038"
E01000296,60,61,80,21,20,34.8%,32.8%,"39,550","39,018"
E01000297,33,34,63,30,29,89.6%,84.3%,"41,345","41,122"
E01000298,60,61,80,21,20,34.5%,32.8%,"39,527","39,026"
E01000299,81,85,104,23,19,28.8%,22.2%,"39,045","38,002"
E01000300,90,95,120,30,26,33.7%,27.2%,"39,475","38,535"
E01000301,53,54,70,18,16,33.4%,30.1%,"39,461","38,814"
E01000302,87,92,120,33,29,37.8%,31.3%,"39,726","38,916"
E01000303,60,61,81,21,20,34.9%,33.0%,"39,561","39,041"
E01000304,60,61,81,21,20,35.0%,33.1%,"39,563","39,047"
E01000305,81,76,102,21,26,26.4%,34.1%,"38,819","39,130"
E01000306,53,56,65,11,9,21.3%,15.4%,"38,392","37,166"
E01000307,187,178,222,34,43,18.4%,24.3%,"38,122","38,240"
E01000308,53,56,65,11,9,21.3%,15.6%,"38,392","37,193"
E01000309,63,63,109,46,46,72.3%,72.3%,"41,028","40,875"
E01000310,191,182,214,23,32,12.2%,17.6%,"37,374","37,471"
E01000311,115,111,161,46,50,39.6%,45.0%,"39,803","39,818"
E01000312,53,56,64,11,8,20.4%,14.5%,"38,307","37,031"
E01000313,53,56,65,11,9,21.3%,15.5%,"38,392","37,179"
E01000314,63,63,109,46,46,72.1%,72.1%,"41,018","40,863"
E01000315,63,54,58,-5,3,-8.2%,6.2%,"33,426","35,716"
E01000316,36,24,49,13,25,36.9%,100.6%,"39,685","41,319"
E01000317,62,67,94,32,27,51.3%,40.9%,"40,366","39,599"
E01000318,85,89,111,26,22,30.7%,24.3%,"39,229","38,242"
E01000319,34,34,65,32,31,93.7%,92.4%,"41,397","41,235"
E01000320,34,35,50,15,14,45.0%,40.0%,"40,099","39,559"
E01000321,25,26,33,8,8,33.2%,30.3%,"39,439","38,836"
E01000322,63,74,88,26,15,40.9%,19.7%,"39,875","37,732"
E01000323,81,85,104,23,19,28.8%,22.2%,"39,039","38,002"
E01000324,76,72,69,-7,-3,-8.9%,-4.6%,"33,238","33,298"
E01000325,45,38,55,11,18,23.8%,47.2%,"38,614","39,939"
E01000326,21,21,16,-5,-5,-23.7%,-22.4%,"28,660","27,455"
E01000327,81,69,108,27,39,33.8%,56.4%,"39,483","40,353"
E01000328,37,43,44,6,0,17.2%,0.4%,"37,955","34,581"
E01000329,113,111,133,20,22,17.5%,20.1%,"37,989","37,781"
E01000330,154,153,196,42,42,27.3%,27.7%,"38,918","38,578"
E01000331,58,63,71,13,7,22.7%,11.8%,"38,514","36,651"
E01000332,27,25,46,20,21,72.4%,83.3%,"41,033","41,104"
E01000333,31,37,61,30,24,96.7%,63.6%,"41,432","40,594"
E01000334,28,28,55,28,28,101.5%,101.5%,"41,459","41,324"
E01000335,39,35,51,11,16,29.3%,44.3%,"39,079","39,782"
E01000336,38,34,51,12,17,31.9%,49.3%,"39,324","40,054"
E01000337,39,34,56,18,22,45.1%,63.7%,"40,101","40,599"
E01000338,39,34,56,17,22,45.0%,63.5%,"40,097","40,590"
E01000339,30,32,41,10,9,34.0%,28.4%,"39,497","38,656"
E01000340,15,15,34,19,19,124.1%,124.1%,"41,515","41,449"
E01000341,19,20,24,4,3,22.9%,16.7%,"38,525","37,357"
E01000342,35,35,52,17,17,48.3%,48.8%,"40,249","40,035"
E01000343,24,25,43,18,17,74.6%,68.1%,"41,075","40,739"
E01000344,28,27,31,3,5,12.4%,17.1%,"37,396","37,402"
E01000345,26,26,33,7,7,26.7%,27.3%,"38,865","38,538"
E01000346,24,25,43,18,17,75.2%,68.6%,"41,089","40,763"
E01000347,24,25,43,18,17,74.7%,68.3%,"41,079","40,749"
E01000348,22,22,33,11,10,47.4%,46.6%,"40,216","39,909"
E01000349,24,26,30,5,4,22.5%,16.8%,"38,496","37,362"
E01000350,16,17,24,8,8,52.8%,44.8%,"40,419","39,809"
E01000351,42,45,54,12,9,28.6%,20.8%,"39,032","37,849"
E01000352,24,24,41,17,17,72.4%,71.9%,"41,029","40,856"
E01000353,29,29,47,17,18,59.0%,60.7%,"40,655","40,490"
E01000354,33,40,62,28,22,84.3%,53.7%,"41,279","40,241"
E01000355,47,38,63,16,26,34.0%,68.4%,"39,497","40,756"
E01000356,27,33,40,12,6,44.3%,19.4%,"40,045","37,692"
E01000357,27,33,40,12,7,44.8%,19.8%,"40,086","37,737"
E01000358,33,40,62,28,22,84.7%,54.0%,"41,284","40,251"
E01000359,23,28,43,20,16,89.5%,55.7%,"41,342","40,317"
E01000360,112,110,132,20,22,17.8%,19.7%,"38,032","37,717"
E01000361,94,100,123,28,23,30.2%,22.8%,"39,168","38,065"
E01000362,150,153,206,56,52,37.4%,34.2%,"39,711","39,137"
E01000363,63,64,74,11,10,17.4%,15.8%,"37,978","37,226"
E01000364,64,67,63,-2,-4,-2.5%,-6.5%,"34,849","32,819"
E01000365,150,154,206,56,52,37.4%,34.1%,"39,712","39,121"
E01000366,89,93,117,29,24,32.1%,25.6%,"39,342","38,357"
E01000367,33,33,28,-6,-5,-16.6%,-15.9%,"31,099","29,896"
E01000368,37,33,38,1,6,3.2%,17.5%,"36,028","37,452"
E01000369,35,21,41,6,20,16.4%,95.2%,"37,873","41,270"
E01000370,43,30,52,8,21,19.3%,71.4%,"38,204","40,839"
E01000371,25,19,32,7,13,27.3%,64.9%,"38,913","40,642"
E01000372,37,31,41,4,11,10.9%,34.7%,"37,222","39,190"
E01000373,41,42,49,8,7,19.7%,16.3%,"38,238","37,299"
E01000374,13,13,7,-6,-7,-49.5%,-49.9%,"16,546","14,365"
E01000375,76,48,34,-42,-14,-55.0%,-28.5%,"13,604","24,851"
E01000376,16,18,15,-1,-3,-7.1%,-16.8%,"33,710","29,564"
E01000377,47,47,34,-13,-13,-28.1%,-28.4%,"26,910","24,884"
E01000378,47,47,34,-13,-13,-27.6%,-27.9%,"27,101","25,097"
E01000379,48,48,34,-14,-14,-28.9%,-28.9%,"26,590","24,661"
E01000380,37,33,38,1,6,3.0%,17.4%,"35,991","37,430"
E01000381,10,11,10,0,-1,-1.8%,-9.7%,"34,993","31,849"
E01000382,12,12,16,3,3,27.5%,27.5%,"38,943","38,566"
E01000383,24,18,13,-11,-5,-45.0%,-28.8%,"18,984","24,716"
E01000384,65,57,81,16,24,24.1%,42.4%,"38,638","39,678"
E01000385,60,49,70,11,22,17.8%,44.3%,"38,044","39,780"
E01000386,60,49,70,11,22,17.7%,44.4%,"38,030","39,785"
E01000387,12,12,16,3,3,27.3%,27.3%,"38,923","38,547"
E01000388,70,72,90,20,18,29.0%,24.9%,"39,053","38,289"
E01000389,92,97,123,31,26,33.3%,27.0%,"39,450","38,505"
E01000390,19,19,23,4,4,19.6%,18.9%,"38,234","37,630"
E01000391,28,29,50,22,21,79.2%,73.6%,"41,175","40,910"
E01000392,70,72,90,20,18,29.3%,25.1%,"39,077","38,318"
E01000393,66,66,67,1,1,1.7%,2.0%,"35,778","34,942"
E01000394,89,93,117,29,24,32.2%,25.5%,"39,346","38,348"
E01000395,32,29,32,0,3,-1.4%,10.7%,"35,100","36,469"
