"pcon24","A_n","B_n","C_n","D_n","E_n","F_n","G_n","number_of_epcs","A_pct","B_pct","C_pct","D_pct","E_pct","F_pct","G_pct","ABC_n","ABC_pct","DEFG_n","DEFG_pct"
"E14001094",27,1753,7983,15871,8682,1472,411,36199,0.000745876957927015,0.0484267521202243,0.220530953893754,0.438437525898505,0.239840879582309,0.0406641067432802,0.0113539048040001,9763,0.269703582971905,26436,0.730296417028095
"E14001095",237,2331,11911,16961,5483,989,359,38271,0.00619267852943482,0.060907736928745,0.311227822633325,0.443181521256304,0.143267748425701,0.0258420213738862,0.0093804708526038,14479,0.378328238091505,23792,0.621671761908495
"E14001096",235,17935,33340,19864,6791,1010,282,79457,0.00295757453717105,0.225719571592182,0.419598021571416,0.249996853644109,0.0854676114124621,0.0127112777980543,0.00354908944460526,51510,0.648275167700769,27947,0.351724832299231
"E14001097",176,4474,12244,15706,4708,879,247,38434,0.00457927876359473,0.116407347660925,0.318572097621897,0.408648592392153,0.122495706926159,0.0228703751886351,0.00642660144663579,16894,0.439558724046417,21540,0.560441275953583
"E14001098",98,2512,9563,17927,8592,1199,409,40300,0.0024317617866005,0.0623325062034739,0.237295285359801,0.444838709677419,0.213200992555831,0.0297518610421836,0.0101488833746898,12173,0.302059553349876,28127,0.697940446650124
"E14001099",51,2082,10097,16855,6630,1076,293,37084,0.00137525617516988,0.0561428109157588,0.272273756876281,0.454508682989969,0.178783302772085,0.0290152087153489,0.00790098155538777,12230,0.32979182396721,24854,0.67020817603279
"E14001100",30,1077,7037,17692,7712,1198,528,35274,0.000850484776322504,0.0305324034699779,0.199495379032715,0.501559222089925,0.218631286499972,0.033962692067812,0.0149685320632761,8144,0.230878267279016,27130,0.769121732720984
"E14001101",302,2962,14576,15800,6110,1897,700,42347,0.00713155595437693,0.0699459229697499,0.344203839705292,0.37310789430184,0.144284128745838,0.0447965617399107,0.0165300965829929,17840,0.421281318629419,24507,0.578718681370581
"E14001102",127,3790,12998,15047,5441,1093,299,38795,0.0032736177342441,0.0976930016754736,0.335043175666967,0.387859260213945,0.140250032220647,0.0281737337285733,0.0077071787601495,16915,0.436009795076685,21880,0.563990204923315
"E14001103",88,3611,16809,15090,4361,693,187,40839,0.00215480300692965,0.0884203824775337,0.411591860721369,0.369499742892823,0.106785180832048,0.016969073679571,0.00457895638972551,20508,0.502167046205833,20331,0.497832953794167
"E14001104",50,2348,10581,17538,6148,1047,287,37999,0.00131582410063423,0.0617910997657833,0.278454696176215,0.461538461538462,0.161793731413985,0.0275533566672807,0.00755283033764046,12979,0.341561620042633,25020,0.658438379957367
"E14001105",111,2127,13940,22803,9764,1918,795,51464,0.00215684750505208,0.0413298616508627,0.270868956940774,0.443086429348671,0.189724856210166,0.0372687704026115,0.0154476915902378,16178,0.314355666096689,35280,0.685527747551687
"E14001106",139,3609,10885,14198,3827,611,132,33401,0.00416155204933984,0.108050657165953,0.325888446453699,0.425077093500195,0.11457740786204,0.0182928654830694,0.00395197748570402,14633,0.438100655668992,18768,0.561899344331008
"E14001107",173,4531,16204,15238,3746,485,94,40471,0.00427466581008623,0.111956709742779,0.400385461194436,0.376516518000544,0.0925601047663759,0.0119838896987967,0.00232265078698327,20908,0.516616836747301,19563,0.483383163252699
"E14001108",301,5282,14406,17201,5875,1012,259,44336,0.00678906531937929,0.11913569108625,0.324927823890292,0.3879691447131,0.132510826416456,0.0228256946950559,0.0058417538794659,19989,0.450852580295922,24347,0.549147419704078
"E14001109",171,6436,13943,15412,5109,999,244,42314,0.00404121567329962,0.152100959493312,0.329512690835185,0.36422933308125,0.120740180554899,0.0236092073545399,0.00576641300751524,20550,0.485654866001796,21764,0.514345133998204
"E14001110",54,3030,15497,16250,4713,826,207,40577,0.00133080316435419,0.0746728442220963,0.381915863666609,0.400473174458437,0.116149542844469,0.0203563595140104,0.0051014121300244,18581,0.45791951105306,21996,0.54208048894694
"E14001111",173,4687,18497,15480,4373,710,193,44113,0.00392174642395666,0.10624985831841,0.41930950060073,0.350916963253463,0.0991317752136558,0.0160950286763539,0.00437512751343141,23357,0.529481105343096,20756,0.470518894656904
"E14001112",137,3736,12161,14115,4266,690,156,35261,0.00388531238478773,0.105952752332605,0.344885284024843,0.400300615410794,0.120983522872295,0.0195683616460112,0.0044241513286634,16034,0.454723348742236,19227,0.545276651257763
"E14001113",35,3185,15466,15572,5108,979,448,40793,0.000857990341480156,0.0780771210746942,0.379133674895203,0.3817321599294,0.12521756183659,0.0239992155516878,0.010982276370946,18686,0.458068786311377,22107,0.541931213688623
"E14001114",250,5583,13643,17863,8313,2464,789,48905,0.00511195174317554,0.114160106328596,0.278969430528576,0.365259175953379,0.169982619364073,0.0503833963807382,0.016133319701462,19476,0.398241488600348,29429,0.601758511399652
"E14001115",44,4437,17037,17845,6417,1159,247,47186,0.00093247997287331,0.0940321281736108,0.361060484041877,0.378184207180096,0.13599372695291,0.0245623701945492,0.00523460348408426,21518,0.456025092188361,25668,0.543974907811639
"E14001116",69,3956,16169,17197,5786,912,227,44316,0.00155699972921744,0.0892679844751331,0.36485693654662,0.388053975990613,0.130562325119596,0.0205794746818305,0.0051223034569907,20194,0.45568192075097,24122,0.54431807924903
"E14001117",296,5072,16189,13565,2380,270,57,37829,0.00782468476565598,0.134077030849348,0.427952100240556,0.358587327182849,0.0629146950752068,0.00713738137407809,0.00150678051230537,21557,0.569853815855561,16272,0.430146184144439
"E14001118",72,3392,11453,16202,8619,1168,551,41457,0.00173673927201679,0.0818197168150131,0.276262151144559,0.390814578961333,0.207902163687676,0.0281737704127168,0.013290879706684,14917,0.359818607231589,26540,0.640181392768411
"E14001119",39,2328,12110,17005,6290,944,422,39138,0.000996474015023762,0.0594818335121876,0.309417956972763,0.43448822116613,0.160713373192294,0.024119781286729,0.0107823598548725,14477,0.369896264499974,24661,0.630103735500026
"E14001120",13,2871,11520,15791,9146,1362,548,41251,0.000315143875299993,0.0695983127681753,0.279265957188917,0.382802841143245,0.221715837191826,0.0330173813968146,0.0132845264357228,14404,0.349179413832392,26847,0.650820586167608
"E14001121",136,5082,11818,12528,4939,1322,273,36098,0.00376752174635714,0.140783422904316,0.327386558812123,0.347055238517369,0.136821984597485,0.036622527563854,0.00756274585849632,17036,0.471937503462796,19062,0.528062496537204
"E14001122",30,6489,15781,17912,5080,580,190,46062,0.000651296079197603,0.140875341930442,0.342603447527246,0.388867179019582,0.110286136077461,0.0125917241978203,0.00412487516825149,22300,0.484130085536885,23762,0.515869914463115
"E14001123",37,13492,10991,13076,3945,530,127,42198,0.000876818806578511,0.319730792928575,0.260462581164984,0.309872505805962,0.0934878430257358,0.0125598369590976,0.00300962130906678,24520,0.581070192900137,17678,0.418929807099863
"E14001124",111,9136,15394,14249,4631,556,171,44248,0.0025085879587778,0.206472608931477,0.347902730066896,0.322025854275899,0.104660097631531,0.0125655396854095,0.00386458145000904,24641,0.556883926957151,19607,0.443116073042849
"E14001125",77,3540,11671,13619,5167,984,258,35316,0.00218031487144637,0.100237852531431,0.330473439800657,0.385632574470495,0.146307622607317,0.0278627251104315,0.0073054706082229,15288,0.432891607203534,20028,0.567108392796466
"E14001126",162,7067,14832,13816,5282,1449,376,42984,0.00376884422110553,0.164410013028103,0.345058626465662,0.321421924437,0.122882933184441,0.0337102177554439,0.00874744090824493,22061,0.513237483714871,20923,0.486762516285129
"E14001127",246,4328,10974,15226,6681,1682,611,39748,0.00618899064103854,0.108885981684613,0.276089362986817,0.383063298782329,0.168083928751132,0.0423165945456375,0.0153718426084331,15548,0.391164335312469,24200,0.608835664687531
"E14001128",157,4581,10411,12875,3902,847,271,33044,0.00475124076988258,0.138633337368357,0.315064762135335,0.389632005810435,0.118084977605617,0.0256324900133156,0.00820118629705847,15149,0.458449340273575,17895,0.541550659726425
"E14001129",89,3924,15055,14649,4259,618,136,38730,0.00229796023754196,0.101316808675445,0.388716757035889,0.378233927188226,0.109966434288665,0.0159566227730442,0.00351148980118771,19068,0.492331525948877,19662,0.507668474051123
"E14001130",68,3387,15604,19051,6260,828,279,45477,0.0014952613408976,0.07447720825912,0.343118499461266,0.418915055962355,0.137651999912043,0.0182070057391649,0.00613496932515337,19059,0.419090969061284,26418,0.580909030938716
"E14001131",127,6819,14571,16539,6875,1040,290,46261,0.00274529301139189,0.14740277987938,0.314973735976308,0.35751496941268,0.148613302782041,0.0224811396208469,0.00626877931735155,21517,0.46512180886708,24744,0.53487819113292
"E14001132",110,4033,14417,17177,5341,814,189,42081,0.00261400632114256,0.0958389772106176,0.342601173926475,0.408188968893325,0.126921888738386,0.0193436467764549,0.00449133813359949,18560,0.441054157458235,23521,0.558945842541765
"E14001133",217,3872,12663,13041,4475,628,122,35018,0.00619681306756525,0.110571705979782,0.361614027071792,0.372408475641099,0.127791421554629,0.0179336341310183,0.00348392255411503,16752,0.478382546119139,18266,0.521617453880861
"E14001134",161,2900,12711,13978,5405,935,165,36255,0.00444076679078748,0.0799889670390291,0.350599917252793,0.38554682112812,0.149082885119294,0.0257895462694801,0.00455109640049648,15772,0.435029651082609,20483,0.564970348917391
"E14001135",165,4597,14831,15252,4344,724,158,40071,0.00411769109830052,0.114721369569015,0.370118040478151,0.380624391704724,0.108407576551621,0.0180679294252701,0.00394300117291807,19593,0.488957101145467,20478,0.511042898854533
"E14001136",635,4885,8207,13096,5533,1496,324,34176,0.0185802902621723,0.142936563670412,0.240139279026217,0.383192883895131,0.161897237827715,0.0437734082397004,0.00948033707865169,13727,0.401656132958802,20449,0.598343867041198
"E14001137",81,3619,9755,13237,5636,926,189,33443,0.00242203151631134,0.108213976018898,0.291690338785396,0.395807792363125,0.168525550937416,0.0276889035074605,0.00565140687139312,13455,0.402326346320605,19988,0.597673653679395
"E14001138",221,3819,9291,12517,4676,969,222,31715,0.00696831152451521,0.120416206842188,0.29295286142204,0.394671291187135,0.147438120763046,0.0305533659151821,0.00699984234589311,13331,0.420337379788743,18384,0.579662620211256
"E14001139",66,4174,14048,12932,4069,626,130,36045,0.00183104452767374,0.115799694825912,0.389735053405465,0.358773755028437,0.112886669440977,0.0173671799139964,0.00360660285753919,18288,0.507365792759051,17757,0.492634207240949
"E14001140",71,3051,9474,15025,5841,1017,168,34647,0.00204923947239299,0.0880595722573383,0.273443588189454,0.433659479897249,0.168586024764049,0.0293531907524461,0.00484890466707074,12596,0.363552399919185,22051,0.636447600080815
"E14001141",399,8826,14069,11941,3539,963,242,39979,0.00998023962580355,0.220765902098602,0.351909752620126,0.298681807949173,0.0885214737737312,0.0240876460141574,0.00605317791840716,23294,0.582655894344531,16685,0.417344105655469
"E14001142",113,2931,10742,19349,7696,1518,512,42861,0.00263642938802174,0.0683838454539091,0.250624110496722,0.451436037423299,0.179557173187746,0.0354168124868762,0.011945591563426,13786,0.321644385338653,29075,0.678355614661347
"E14001143",198,7285,13446,15072,5947,1436,395,43779,0.00452271637086274,0.166403983645127,0.307133557184952,0.344274652230522,0.135841385138994,0.0328011146896914,0.00902259073985244,20929,0.478060257200941,22850,0.521939742799059
"E14001144",92,2129,12579,16480,4758,769,208,37015,0.00248547885992165,0.0575172227475348,0.339835201945157,0.445224908820748,0.128542482777252,0.0207753613399973,0.00561934350938809,14800,0.399837903552614,22215,0.600162096447386
"E14001145",76,2291,12973,16320,5125,826,193,37804,0.00201036927309279,0.0606020526928367,0.343164744471484,0.4317003491694,0.135567664797376,0.0218495397312454,0.0051052798645646,15340,0.405777166437414,22464,0.594222833562586
"E14001146",266,8486,14190,13007,4451,1046,252,41698,0.00637920283946472,0.203510959758262,0.340304091323325,0.3119334260636,0.106743728716006,0.0250851359777447,0.00604345532159816,22942,0.550194253921051,18756,0.449805746078949
"E14001147",96,2622,10785,15663,7047,1448,523,38190,0.00251374705420267,0.0686567164179104,0.282403770620581,0.410133542812255,0.184524744697565,0.0379156847342236,0.013694684472375,13503,0.353574234092694,24681,0.646268656716418
"E14001148",420,5293,10241,11401,7425,3330,1276,39386,0.0106636876047326,0.134387853552024,0.260016249428731,0.289468339003707,0.188518763012238,0.0845478088660945,0.0323972985324735,15954,0.405067790585487,23432,0.594932209414513
"E14001149",594,10217,16280,13826,4471,578,138,46106,0.0128833557454561,0.221598056652063,0.353099379690279,0.299874202923698,0.0969721945083069,0.0125363293280701,0.00299310284995445,27091,0.587580792087798,19013,0.412375829610029
"E14001150",121,5215,11507,15773,4413,636,149,37814,0.00319987306288676,0.137911884487227,0.304305283757339,0.41712064314804,0.11670280848363,0.016819167504099,0.00394033955677791,16843,0.445417041307452,20971,0.554582958692548
"E14001151",213,4913,14665,15673,4786,788,240,41278,0.00516013372740927,0.119022239449586,0.355273995833131,0.379693783613547,0.115945539997093,0.0190900721934202,0.00581423518581327,19791,0.479456369010126,21487,0.520543630989874
"E14001152",96,5169,12050,16475,4973,1473,466,40702,0.00235860645668517,0.126996216402142,0.296054247948504,0.404771264311336,0.122180728219744,0.0361898678197632,0.011449068841826,17315,0.425409070807331,23387,0.574590929192669
"E14001153",155,3516,11490,12721,4876,804,165,33727,0.00459572449372906,0.104248821419041,0.340676609244819,0.37717555667566,0.144572597622083,0.0238384676965043,0.00489222284816319,15161,0.449521155157589,18566,0.550478844842411
"E14001154",62,1728,6039,13456,5582,903,163,27933,0.00221959689256435,0.0618623133927612,0.216195897325744,0.481724125586224,0.199835320230552,0.0323273547417034,0.00583539183045144,7829,0.280277807611069,20104,0.719722192388931
"E14001155",416,5018,8879,11235,6378,2712,992,35630,0.0116755543081673,0.140836373842268,0.249200112264945,0.31532416502947,0.179006455234353,0.076115632893629,0.0278417064271681,14313,0.40171204041538,21317,0.59828795958462
"E14001156",188,4654,10231,11117,4270,1287,341,32088,0.00585888805784094,0.145038643729743,0.318841934679631,0.346453502867115,0.133071553228621,0.0401084517576664,0.0106270256793817,15073,0.469739466467215,17015,0.530260533532785
"E14001157",131,3359,13810,15459,3761,502,180,37202,0.00352131605827644,0.0902908445782485,0.371216601257997,0.415542175151874,0.101096715230364,0.0134938981775173,0.00483844954572335,17300,0.465028761894522,19902,0.534971238105478
"E14001158",73,2710,8049,13610,4706,814,121,30083,0.00242661968553668,0.0900841006548549,0.267559751354586,0.452414985207592,0.156433866303228,0.0270584715620118,0.00402220523219094,10832,0.360070471694977,19251,0.639929528305023
"E14001159",79,5855,15458,14453,4182,568,123,40728,0.00193969750540169,0.143758593596543,0.379542329601257,0.35486643095659,0.102681202121391,0.0139461795325083,0.00302003535651149,21392,0.525240620703202,19326,0.474513847967001
"E14001160",14,6765,26236,25272,7204,899,262,66652,0.000210046210166237,0.101497329412471,0.393626597851527,0.379163415951509,0.108083778431255,0.0134879673528176,0.00393086479025386,33015,0.495333973474164,33637,0.504666026525836
"E14001161",121,4047,15245,16713,5749,1015,258,43148,0.00280430147399648,0.0937934550848243,0.353318809678316,0.387341244090108,0.133239084082692,0.0235236859182349,0.0059794196718272,19413,0.449916566237137,23735,0.550083433762863
"E14001162",110,3333,10921,13182,4843,1009,161,33559,0.00327780923150273,0.0993176197145326,0.325426860156739,0.39280073899699,0.144313000983343,0.0300664501326023,0.00479752078429035,14364,0.428022289102774,19195,0.571977710897226
"E14001163",70,4085,13680,13808,4297,861,206,37007,0.00189153403410166,0.110384521847218,0.369659794093009,0.373118599183938,0.116113167779069,0.0232658686194504,0.00556651444321345,17835,0.481935849974329,19172,0.518064150025671
"E14001164",233,6694,8055,10833,5218,1847,597,33477,0.00696000238970039,0.199958180243152,0.240612958150372,0.323595304238731,0.155868208023419,0.055172207784449,0.0178331391701765,14982,0.447531140783224,18495,0.552468859216776
"E14001165",158,3323,12839,16375,4272,570,102,37639,0.00419777358590823,0.0882860862403358,0.341108956135923,0.435054066261059,0.113499295943038,0.0151438667339727,0.00270995509976354,16320,0.433592815962167,21319,0.566407184037833
"E14001166",369,8491,13464,14160,4959,1122,336,42901,0.00860119810727023,0.197920794387077,0.313838838255519,0.330062236311508,0.115591711148924,0.0261532365212932,0.00783198526840866,22324,0.520360830749866,20577,0.479639169250134
"E14001167",38,2651,11109,14927,5583,896,197,35401,0.00107341600519759,0.0748848902573374,0.313804694782633,0.421654755515381,0.157707409395215,0.0253100194909748,0.00556481455326121,13798,0.389763001045168,21603,0.610236998954832
"E14001168",86,6281,13904,13665,3786,694,160,38576,0.00222936540854417,0.162821443384488,0.3604313562837,0.354235794276234,0.098143923683119,0.0179904603898797,0.00414765657403567,20271,0.525482165076732,18305,0.474517834923268
"E14001169",307,5675,12015,15475,5668,895,158,40193,0.00763814594581146,0.141193740203518,0.298932649963924,0.385017291568184,0.141019580523972,0.0222675590276914,0.00393103276689971,17997,0.447764536113254,22196,0.552235463886746
"E14001170",231,5932,12684,13367,3476,659,175,36524,0.00632460847661811,0.162413755338955,0.347278501807031,0.36597853466214,0.0951702989814916,0.0180429306757201,0.00479137005804403,18847,0.516016865622604,17677,0.483983134377396
"E14001171",65,3668,12097,14102,3615,602,119,34268,0.00189681335356601,0.107038636628925,0.353011555970585,0.411520952492121,0.105492004202171,0.0175674098284113,0.00347262752422085,15830,0.461947005953076,18438,0.538052994046924
"E14001172",89,14754,39527,26740,8869,1272,426,91677,0.000970799655311583,0.16093458555581,0.431155033432595,0.2916762110453,0.0967418218309936,0.0138747995680487,0.00464674891194084,54370,0.593060418643717,37307,0.406939581356283
"E14001173",165,4586,14580,15661,3882,570,125,39569,0.00416993100659607,0.11589880967424,0.368470267128307,0.395789633298795,0.0981071040460967,0.0144052162046046,0.00315903864136066,19331,0.488539007809143,20238,0.511460992190857
"E14001174",250,4674,9753,17316,7594,1764,625,41976,0.00595578425767105,0.111349342481418,0.232347055460263,0.412521440823328,0.180912902611016,0.0420240137221269,0.0148894606441776,14677,0.349652182199352,27299,0.650347817800648
"E14001175",44,5067,20482,19420,5167,490,169,50840,0.000865460267505901,0.0996656176239182,0.402871754523997,0.38198269079465,0.101632572777341,0.00963808025177026,0.00332415420928403,25593,0.503402832415421,25246,0.496577498033045
"E14001176",168,8114,18531,14613,4285,653,126,46490,0.00361368036136804,0.174532157453216,0.398601849860185,0.314325661432566,0.0921703592170359,0.0140460314046031,0.00271026027102603,26813,0.576747687674769,19677,0.423252312325231
"E14001177",74,3887,9052,13738,4680,917,300,32648,0.0022666013232051,0.119057828963489,0.277260475373683,0.420791472678265,0.143347218818917,0.0280874785591767,0.00918892428326391,13013,0.398584905660377,19635,0.601415094339623
"E14001178",159,8471,8476,13063,3672,854,233,34928,0.00455222171323866,0.242527485112231,0.242670636738433,0.373997938616583,0.105130554283097,0.0244502977553825,0.00667086578103527,17106,0.489750343563903,17822,0.510249656436097
"E14001179",422,8470,14430,13594,4410,906,227,42459,0.00993899997644787,0.199486563508326,0.339857274076168,0.320167691184437,0.103864904967145,0.0213382321769236,0.00534633411055371,23322,0.549282837560941,19137,0.450717162439059
"E14001180",133,4959,14580,18202,5836,922,260,44892,0.00296266595384478,0.11046511627907,0.324779470729751,0.405461997683329,0.130000891027355,0.020538180522142,0.0057916778045086,19672,0.438207252962666,25220,0.561792747037334
"E14001181",142,4005,11150,17613,5518,902,201,39531,0.00359211757860919,0.101312893678379,0.28205711972882,0.445549062760871,0.139586653512433,0.0228175356049683,0.00508461713591865,15297,0.386962130985809,24234,0.613037869014191
"E14001182",127,4264,15006,17710,5701,783,177,43768,0.00290166331566441,0.0974227746298666,0.342853226101261,0.404633522208006,0.130254980807896,0.01788978248949,0.00404405044781576,19397,0.443177664046792,24371,0.556822335953208
"E14001183",197,7338,13507,12649,2510,298,40,36539,0.00539149949369167,0.200826514135581,0.36965981553956,0.346178056323381,0.0686937245135335,0.0081556692848737,0.00109472070937902,21042,0.575877829168833,15497,0.424122170831167
"E14001184",46,4894,16277,12859,2259,247,55,36637,0.00125556131779349,0.133580806288725,0.4442776428201,0.350983977945793,0.0616589786281628,0.0067418183803259,0.00150121461910091,21217,0.579114010426618,15420,0.420885989573382
"E14001185",245,7623,12583,16861,4933,809,254,43308,0.00565715341276439,0.176018287614298,0.29054678119516,0.389327606908654,0.113905052184354,0.0186801514731689,0.00586496721160063,20451,0.472222222222222,22857,0.527777777777778
"E14001186",80,3096,11184,15895,5323,673,154,36405,0.00219750034335943,0.0850432632880099,0.307210548001648,0.436615849471227,0.146216179096278,0.0184864716385112,0.0042301881609669,14360,0.394451311633017,22045,0.605548688366983
"E14001187",169,6105,9797,13390,6131,1070,166,36829,0.00458877515001765,0.165766108229927,0.266013196122621,0.363572184962937,0.166472073637623,0.0290531917782183,0.00450731760297592,16071,0.436368079502566,20757,0.563604767981754
