"msoa21","A_n","B_n","C_n","D_n","E_n","F_n","G_n","number_of_epcs","A_pct","B_pct","C_pct","D_pct","E_pct","F_pct","G_pct","ABC_n","ABC_pct","DEFG_n","DEFG_pct"
"E02000057",2,191,1110,1104,408,76,15,2906,0.000688231245698555,0.065726083964212,0.381968341362698,0.379903647625602,0.140399174122505,0.0261527873365451,0.00516173434273916,1303,0.448382656572608,1603,0.551617343427392
"E02000058",3,118,1034,1759,764,131,14,3823,0.000784724038713053,0.0308658121893801,0.270468218676432,0.46010986136542,0.199843055192257,0.0342662830238033,0.00366204551399425,1155,0.302118754904525,2668,0.697881245095475
"E02000059",0,2318,1543,1481,340,44,14,5740,0,0.40383275261324,0.268815331010453,0.25801393728223,0.0592334494773519,0.00766550522648084,0.0024390243902439,3861,0.672648083623693,1879,0.327351916376307
"E02000060",2,350,1510,1440,588,77,17,3984,0.000502008032128514,0.08785140562249,0.379016064257028,0.36144578313253,0.147590361445783,0.0193273092369478,0.00426706827309237,1862,0.467369477911647,2122,0.532630522088353
"E02000061",12,542,1510,1395,604,83,20,4166,0.0028804608737398,0.130100816130581,0.362457993278925,0.334853576572252,0.14498319731157,0.0199231877100336,0.00480076812289966,2064,0.495439270283245,2102,0.504560729716755
"E02000062",1,613,894,1214,296,34,16,3068,0.000325945241199478,0.19980443285528,0.291395045632334,0.395697522816167,0.0964797913950456,0.0110821382007823,0.00521512385919166,1508,0.491525423728814,1560,0.508474576271186
"E02000063",32,193,1112,1174,318,29,16,2874,0.011134307585247,0.0671537926235212,0.386917188587335,0.408489909533751,0.110647181628392,0.0100904662491301,0.00556715379262352,1337,0.465205288796103,1537,0.534794711203897
"E02000064",17,516,1328,899,321,23,9,3113,0.00546097012528108,0.16575650497912,0.426598136845487,0.288788949566335,0.103115965306778,0.00738837134596852,0.00289110183103116,1861,0.597815611949888,1252,0.402184388050112
"E02000065",1,33,1458,916,169,16,1,2594,0.00038550501156515,0.01272166538165,0.562066306861989,0.353122590593678,0.0651503469545104,0.00616808018504241,0.00038550501156515,1492,0.575173477255204,1102,0.424826522744796
"E02000066",0,621,1188,1846,431,17,4,4107,0,0.151205259313367,0.289262235208181,0.449476503530558,0.104942780618456,0.00413927440954468,0.000973946919892866,1809,0.440467494521549,2298,0.559532505478451
"E02000067",9,331,1555,1566,530,58,18,4067,0.00221293336611753,0.0813867715761003,0.382345709368085,0.38505040570445,0.13031718711581,0.0142611261372019,0.00442586673223506,1895,0.465945414310302,2172,0.534054585689698
"E02000068",9,576,1450,1032,322,40,7,3436,0.00261932479627474,0.167636786961583,0.422002328288708,0.30034924330617,0.0937136204889406,0.0116414435389988,0.0020372526193248,2035,0.592258440046566,1401,0.407741559953434
"E02000069",5,521,787,978,323,58,10,2682,0.00186428038777032,0.194258016405667,0.293437733035048,0.364653243847875,0.120432513049963,0.0216256524981357,0.00372856077554064,1313,0.489560029828486,1369,0.510439970171514
"E02000070",3,57,508,1128,462,67,13,2238,0.00134048257372654,0.0254691689008043,0.226988382484361,0.50402144772118,0.206434316353887,0.0299374441465594,0.00580875781948168,568,0.253798033958892,1670,0.746201966041108
"E02000071",2,28,655,1108,366,50,15,2224,0.000899280575539568,0.012589928057554,0.294514388489209,0.498201438848921,0.164568345323741,0.0224820143884892,0.00674460431654676,685,0.308003597122302,1539,0.691996402877698
"E02000072",166,1119,2017,1547,329,44,21,5243,0.0316612626358955,0.213427427045585,0.384703414075911,0.295060080106809,0.0627503337783712,0.00839214190349037,0.00400534045393859,3302,0.629792103757391,1941,0.370207896242609
"E02000073",2,29,346,1466,574,61,14,2492,0.000802568218298555,0.0116372391653291,0.13884430176565,0.588282504012841,0.230337078651685,0.0244783306581059,0.00561797752808989,377,0.151284109149278,2115,0.848715890850722
"E02000074",4,502,1432,1116,268,44,7,3373,0.00118588793359028,0.14882893566558,0.424547880225319,0.330862733471687,0.0794544915505485,0.013044767269493,0.00207530388378298,1938,0.574562703824489,1435,0.425437296175511
"E02000075",0,10,356,1116,401,49,11,1943,0,0.00514668039114771,0.183221821924858,0.574369531652084,0.206381883685023,0.0252187339166238,0.00566134843026248,366,0.188368502316006,1577,0.811631497683994
"E02000077",3,70,381,1196,441,45,21,2157,0.00139082058414465,0.0324524802967084,0.17663421418637,0.554473806212332,0.204450625869263,0.0208623087621697,0.00973574408901252,454,0.210477515067223,1703,0.789522484932777
"E02000078",1,24,387,1195,449,54,16,2126,0.000470366886171214,0.0112888052681091,0.18203198494826,0.5620884289746,0.211194731890875,0.0253998118532455,0.00752587017873942,412,0.19379115710254,1714,0.80620884289746
"E02000079",0,909,717,1302,515,82,23,3548,0,0.25620067643743,0.202085682074408,0.366967305524239,0.145152198421646,0.0231116121758737,0.00648252536640361,1626,0.458286358511838,1922,0.541713641488162
"E02000080",5,241,566,1309,603,84,20,2828,0.00176803394625177,0.0852192362093352,0.2001414427157,0.462871287128713,0.213224893917963,0.0297029702970297,0.00707213578500707,812,0.287128712871287,2016,0.712871287128713
"E02000081",0,184,648,1223,377,49,13,2494,0,0.0737770649558941,0.259823576583801,0.49037690457097,0.151162790697674,0.0196471531676022,0.00521251002405774,832,0.333600641539695,1662,0.666399358460305
"E02000082",4,97,332,1153,495,87,22,2190,0.00182648401826484,0.0442922374429224,0.151598173515982,0.52648401826484,0.226027397260274,0.0397260273972603,0.0100456621004566,433,0.197716894977169,1757,0.802283105022831
"E02000083",10,498,1105,1853,586,70,18,4140,0.00241545893719807,0.120289855072464,0.266908212560386,0.447584541062802,0.141545893719807,0.0169082125603865,0.00434782608695652,1613,0.389613526570048,2527,0.610386473429952
"E02000084",12,64,664,1377,676,101,17,2911,0.0041222947440742,0.0219855719683957,0.228100309172106,0.473033321882515,0.23222260391618,0.0346959807626245,0.00583991755410512,740,0.254208175884576,2171,0.745791824115424
"E02000085",0,45,484,1250,384,47,21,2231,0,0.0201703272075303,0.216943074854325,0.56028686687584,0.172120125504258,0.0210667861945316,0.00941281936351412,529,0.237113402061856,1702,0.762886597938144
"E02000086",6,46,381,959,402,46,9,1849,0.00324499729583559,0.0248783126014062,0.20605732828556,0.518658734451055,0.217414818820984,0.0248783126014062,0.00486749594375338,433,0.234180638182801,1416,0.765819361817198
"E02000087",6,273,690,1117,469,80,9,2644,0.00226928895612708,0.103252647503782,0.260968229954614,0.422465960665658,0.177382753403933,0.0302571860816944,0.00340393343419062,969,0.366490166414523,1675,0.633509833585477
"E02000088",2,23,399,1103,375,59,7,1968,0.00101626016260163,0.0116869918699187,0.202743902439024,0.560467479674797,0.190548780487805,0.029979674796748,0.00355691056910569,424,0.215447154471545,1544,0.784552845528455
"E02000089",3,107,308,1005,432,53,8,1916,0.00156576200417537,0.0558455114822547,0.160751565762004,0.524530271398747,0.225469728601253,0.0276617954070981,0.00417536534446764,418,0.218162839248434,1498,0.781837160751566
"E02000090",21,433,1450,1424,658,136,27,4149,0.00506146059291396,0.104362496987226,0.349481802844059,0.343215232586165,0.158592431911304,0.0327789828874428,0.00650759219088937,1904,0.458905760424199,2245,0.541094239575801
"E02000091",1,331,1292,1430,660,126,11,3851,0.000259672812256557,0.0859517008569203,0.335497273435471,0.371332121526876,0.171384056089327,0.0327187743443262,0.00285640093482212,1624,0.421708647104648,2227,0.578291352895352
"E02000092",0,119,1045,1077,254,47,16,2558,0,0.0465207193119625,0.40852228303362,0.42103205629398,0.0992963252541048,0.0183737294761532,0.00625488663017983,1164,0.455043002345582,1394,0.544956997654418
"E02000093",18,642,887,1146,400,29,5,3127,0.00575631595778702,0.205308602494404,0.283658458586505,0.36648544931244,0.127918132395267,0.00927406459865686,0.00159897665494084,1547,0.494723377038695,1580,0.505276622961305
"E02000094",0,922,583,1039,307,32,7,2890,0,0.319031141868512,0.201730103806228,0.359515570934256,0.106228373702422,0.0110726643598616,0.00242214532871972,1505,0.52076124567474,1385,0.47923875432526
"E02000095",2,65,694,1207,310,37,17,2332,0.000857632933104631,0.0278730703259005,0.297598627787307,0.517581475128645,0.132933104631218,0.0158662092624357,0.00728987993138937,761,0.326329331046312,1571,0.673670668953688
"E02000096",1,111,409,798,344,84,5,1752,0.000570776255707763,0.0633561643835616,0.233447488584475,0.455479452054795,0.19634703196347,0.0479452054794521,0.00285388127853881,521,0.297374429223744,1231,0.702625570776256
"E02000097",2,26,583,1081,309,48,15,2064,0.000968992248062015,0.0125968992248062,0.282461240310078,0.523740310077519,0.149709302325581,0.0232558139534884,0.00726744186046512,611,0.296027131782946,1453,0.703972868217054
"E02000098",1,334,842,928,351,49,9,2514,0.000397772474144789,0.13285600636436,0.334924423229913,0.369132856006364,0.139618138424821,0.0194908512330947,0.0035799522673031,1177,0.468178202068417,1337,0.531821797931583
"E02000099",3,168,782,950,309,28,9,2249,0.00133392618941752,0.0746998666073811,0.347710093374833,0.422409959982214,0.137394397510004,0.0124499777678968,0.00400177856825256,953,0.423743886171632,1296,0.576256113828368
"E02000100",2,120,354,726,334,53,4,1593,0.00125549278091651,0.0753295668549906,0.222222222222222,0.455743879472693,0.209667294413057,0.0332705586942875,0.00251098556183302,476,0.298807281858129,1117,0.701192718141871
"E02000101",0,256,1243,1092,337,55,9,2992,0,0.0855614973262032,0.415441176470588,0.364973262032086,0.112633689839572,0.0183823529411765,0.00300802139037433,1499,0.501002673796791,1493,0.498997326203209
"E02000102",0,99,932,1137,306,24,5,2503,0,0.0395525369556532,0.372353176188574,0.454254894127048,0.122253296044746,0.00958849380743108,0.00199760287654814,1031,0.411905713144227,1472,0.588094286855773
"E02000103",1,413,1098,1157,303,30,8,3010,0.000332225913621262,0.137209302325581,0.364784053156146,0.384385382059801,0.100664451827243,0.00996677740863787,0.0026578073089701,1512,0.502325581395349,1498,0.497674418604651
"E02000104",0,307,618,755,320,40,16,2056,0,0.14931906614786,0.300583657587549,0.367217898832685,0.155642023346304,0.0194552529182879,0.00778210116731518,925,0.449902723735409,1131,0.550097276264591
"E02000105",23,162,933,1168,391,44,12,2733,0.0084156604463959,0.0592755214050494,0.341383095499451,0.427369191364801,0.14306622758873,0.0160995243322356,0.00439077936333699,1118,0.409074277350896,1615,0.590925722649103
"E02000106",4,351,1223,1759,517,59,33,3946,0.0010136847440446,0.0889508362899138,0.309934110491637,0.445767866193614,0.131018753167765,0.0149518499746579,0.00836289913836797,1578,0.399898631525596,2368,0.600101368474405
"E02000107",3,169,1537,1829,647,86,26,4297,0.000698161508028857,0.0393297649522923,0.357691412613451,0.425645799394927,0.150570165231557,0.0200139632301606,0.00605073306958343,1709,0.397719339073772,2588,0.602280660926228
"E02000108",0,292,576,785,170,25,2,1850,0,0.157837837837838,0.311351351351351,0.424324324324324,0.0918918918918919,0.0135135135135135,0.00108108108108108,868,0.469189189189189,982,0.530810810810811
"E02000110",0,104,944,1183,399,37,15,2682,0,0.0387770320656227,0.351976137211037,0.441088739746458,0.148769574944072,0.0137956748695004,0.00559284116331096,1048,0.390753169276659,1634,0.609246830723341
"E02000111",3,267,1078,1130,355,34,8,2875,0.00104347826086957,0.0928695652173913,0.37495652173913,0.39304347826087,0.123478260869565,0.0118260869565217,0.00278260869565217,1348,0.468869565217391,1527,0.531130434782609
"E02000112",2,1704,892,1146,279,35,16,4074,0.000490918016691213,0.418262150220913,0.218949435444281,0.281296023564065,0.0684830633284242,0.00859106529209622,0.0039273441335297,2598,0.637702503681885,1476,0.362297496318115
"E02000113",5,104,1241,1114,235,14,11,2724,0.00183553597650514,0.0381791483113069,0.455580029368576,0.408957415565345,0.0862701908957416,0.00513950073421439,0.00403817914831131,1350,0.495594713656388,1374,0.504405286343612
"E02000114",1,358,1169,1761,465,36,14,3804,0.000262881177707676,0.0941114616193481,0.307308096740273,0.462933753943218,0.122239747634069,0.00946372239747634,0.00368033648790747,1528,0.401682439537329,2276,0.598317560462671
"E02000115",0,269,1649,1307,413,60,15,3713,0,0.0724481551306221,0.444115270670617,0.352006463775922,0.11123081066523,0.0161594398060867,0.00403985995152168,1918,0.516563425801239,1795,0.483436574198761
"E02000116",10,315,1303,1236,264,31,9,3168,0.00315656565656566,0.0994318181818182,0.411300505050505,0.390151515151515,0.0833333333333333,0.00978535353535354,0.00284090909090909,1628,0.513888888888889,1540,0.486111111111111
"E02000117",1,381,1748,1788,374,34,14,4340,0.000230414746543779,0.0877880184331797,0.402764976958525,0.411981566820276,0.0861751152073733,0.00783410138248848,0.0032258064516129,2130,0.490783410138249,2210,0.509216589861751
"E02000118",0,1033,660,1202,220,24,9,3148,0,0.328144853875476,0.209656925031766,0.381829733163914,0.0698856416772554,0.00762388818297332,0.00285895806861499,1693,0.537801778907243,1455,0.462198221092757
"E02000119",2,2691,1108,561,104,15,2,4483,0.00044612982377872,0.600267677894267,0.247155922373411,0.125139415569931,0.0231987508364934,0.0033459736783404,0.00044612982377872,3801,0.847869730091457,682,0.152130269908543
"E02000120",11,291,1743,1740,437,58,23,4303,0.00255635603067627,0.0676272368115268,0.405066232860795,0.404369044852429,0.101557053218685,0.0134789681617476,0.0053451080641413,2045,0.475249825702998,2258,0.524750174297002
"E02000121",0,1395,848,1034,267,31,9,3584,0,0.389229910714286,0.236607142857143,0.288504464285714,0.0744977678571429,0.00864955357142857,0.00251116071428571,2243,0.625837053571429,1341,0.374162946428571
"E02000122",1,223,819,1090,411,61,14,2619,0.000381825124093165,0.0851470026727759,0.312714776632302,0.41618938526155,0.156930126002291,0.0232913325696831,0.00534555173730431,1043,0.398243604429171,1576,0.601756395570829
"E02000123",1,430,2033,2733,713,102,25,6037,0.000165645188007288,0.071227430843134,0.336756667218817,0.452708298823919,0.118105019049197,0.0168958091767434,0.00414112970018221,2464,0.408149743249959,3573,0.591850256750041
"E02000124",14,467,1370,1753,532,68,26,4230,0.0033096926713948,0.110401891252955,0.32387706855792,0.414420803782506,0.125768321513002,0.0160756501182033,0.00614657210401891,1851,0.43758865248227,2379,0.56241134751773
"E02000125",1,87,970,1713,442,43,23,3279,0.000304971027752364,0.0265324794144556,0.295821896919793,0.522415370539799,0.134797194266545,0.0131137541933516,0.00701433363830436,1058,0.322659347362001,2221,0.677340652637999
"E02000126",0,1577,1205,519,78,10,4,3393,0,0.464780430297672,0.355142941349838,0.152961980548187,0.0229885057471264,0.00294724432655467,0.00117889773062187,2782,0.81992337164751,611,0.18007662835249
"E02000127",2,38,1226,1451,357,37,13,3124,0.000640204865556978,0.0121638924455826,0.392445582586428,0.464468629961588,0.114276568501921,0.0118437900128041,0.00416133162612036,1266,0.405249679897567,1858,0.594750320102433
"E02000128",0,99,621,1164,491,46,11,2432,0,0.0407072368421053,0.255345394736842,0.478618421052632,0.201891447368421,0.0189144736842105,0.00452302631578947,720,0.296052631578947,1712,0.703947368421053
"E02000130",3,279,993,1555,566,96,25,3517,0.000852999715666761,0.0793289735570088,0.282342905885698,0.442138185953938,0.160932613022462,0.0272959909013364,0.00710833096388968,1275,0.362524879158374,2242,0.637475120841626
"E02000131",2,813,1965,2127,468,50,29,5454,0.000366703337000367,0.149064906490649,0.36028602860286,0.38998899889989,0.0858085808580858,0.00916758342500917,0.00531719838650532,2780,0.50971763843051,2674,0.49028236156949
"E02000132",1,956,2544,1542,499,72,17,5631,0.000177588350204227,0.169774462795241,0.451784762919552,0.273841236014917,0.0886165867519091,0.0127863612147043,0.00301900195347185,3501,0.621736814064997,2130,0.378263185935003
"E02000133",5,538,1011,1323,680,162,17,3736,0.00133832976445396,0.144004282655246,0.270610278372591,0.354122055674518,0.182012847965739,0.0433618843683084,0.00455032119914347,1554,0.415952890792291,2182,0.584047109207709
"E02000134",1,438,1887,2150,881,146,35,5538,0.000180570603105814,0.0790899241603467,0.340736728060672,0.388226796677501,0.159082701336222,0.0263633080534489,0.0063199711087035,2326,0.420007222824124,3212,0.579992777175876
"E02000135",0,309,2138,1646,410,64,26,4593,0,0.0672762900065317,0.465490964511213,0.358371434792075,0.0892662747659482,0.0139342477683431,0.0056607881558894,2447,0.532767254517744,2146,0.467232745482256
"E02000136",1,137,533,837,319,38,7,1873,0.000533902829684997,0.0731446876668446,0.284570208222104,0.446876668446343,0.170315002669514,0.0202883075280299,0.00373731980779498,671,0.358248798718633,1201,0.641217298451682
