"msoa21","msoa21_name","heat_risk","social_risk","heat_enhanced_risk","lst_maxday_mean","lst_daynight_mean","lst_daynight_decile","airtemp_maxday_mean","airtemp_daynight_mean","airtemp_daynight_decile","under5","under5_pct","over75","over75_pct","people_of_colour","people_of_colour_pct","disabled_persons","disabled_persons_pct","life_expectancy_average","life_expectancy_decile","care_or_nursing_home_n","hospital_n","nurseries_n"
"E02002538","Billingham South","lower heat risk","Medium heat risk","Lower heat risk",35.07,23.83,9,38.31,27.5,8,267,0.046694648478489,488,0.0853445260580623,137,0.024,1287,0.228,79.3,3,2,0,2
"E02002539","Billingham West, Stillington & Longnewton","lower heat risk","Lowest heat risk","Lower heat risk",34.1,22.15,10,37.71,26.62,9,516,0.0471534314173444,1065,0.0973224892625423,691,0.066,1599,0.152,83.1,8,2,0,2
"E02002540","Norton North","lower heat risk","Lowest heat risk","Lower heat risk",34.48,23.07,10,37.9,26.96,9,271,0.0437802907915994,800,0.12924071082391,127,0.021,1044,0.172,84.1,9,0,1,0
"E02002541","Norton High Street","lower heat risk","Medium heat risk","Lower heat risk",35.47,24.61,8,38.07,27.17,8,266,0.0447209145931406,543,0.0912911903160726,188,0.031,1307,0.217,78.2,2,4,0,1
"E02002542","Roseworth","lower heat risk","Highest heat risk","Lower heat risk",36.88,24.56,9,37.73,26.74,9,457,0.0560598626104024,448,0.0549558390578999,380,0.047,2065,0.257,76.2,1,1,0,2
"E02002543","Hardwick & Salters Lane","lower heat risk","Highest heat risk","Lower heat risk",36.6,23.92,9,37.74,26.69,9,617,0.064465573085362,442,0.0461811722912966,593,0.064,2173,0.235,76.4,1,1,1,1
"E02002544","Norton South","lower heat risk","Highest heat risk","Lower heat risk",35.57,24.81,8,38.25,27.32,8,515,0.0563827457849792,526,0.0575870374425224,434,0.049,2471,0.277,75.9,1,8,0,3
"E02002545","Rimswell & Bishopsgarth","lower heat risk","Lowest heat risk","Lower heat risk",36.32,23.78,9,37.65,26.59,9,223,0.0434697855750487,564,0.109941520467836,170,0.034,1011,0.201,83.3,8,4,0,0
"E02002546","Eastbourne & Newham Grange","lower heat risk","Highest heat risk","Lower heat risk",36.68,25.26,7,38,26.95,9,446,0.0601321288930835,357,0.0481326681946879,867,0.116,1646,0.221,75.9,1,3,1,3
"E02002547","Elm Tree & Grangefield","lower heat risk","Lowest heat risk","Lower heat risk",36.89,24.45,9,37.88,26.82,9,223,0.0367622815694032,819,0.135014836795252,330,0.054,1234,0.203,82.6,7,2,0,0
