"msoa21","msoa21_name","heat_risk","social_risk","heat_enhanced_risk","lst_maxday_mean","lst_daynight_mean","lst_daynight_decile","airtemp_maxday_mean","airtemp_daynight_mean","airtemp_daynight_decile","under5","under5_pct","over75","over75_pct","people_of_colour","people_of_colour_pct","disabled_persons","disabled_persons_pct","life_expectancy_average","life_expectancy_decile","care_or_nursing_home_n","hospital_n","nurseries_n"
"E02006534","Hillside","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.76,27.87,2,33.68,26.49,9,473,0.0516037530002182,889,0.0969888719179577,729,0.08,1706,0.188,82.8,7,2,0,1
"E02006535","Buckingham","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.87,26.81,4,33.81,26.45,9,352,0.0481795784286888,841,0.115110867779907,357,0.049,1144,0.155,83.9,9,2,0,2
"E02006536","North Lancing","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.1,26.67,4,33.6,26.36,9,312,0.0416611029509948,715,0.0954733609293631,407,0.054,1395,0.186,84.2,9,1,0,3
"E02006537","Kingston & Southwick","highest heat risk","Highest heat risk","High heat and enhanced risk",38.21,27.69,3,33.33,26.41,9,571,0.0542517814726841,969,0.0920665083135392,948,0.09,2254,0.214,81,4,4,1,3
"E02006538","Shoreham Central & Beach","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.85,27.08,4,33.14,26.32,9,405,0.0436375390582911,1017,0.10957870919082,620,0.067,1602,0.173,85.1,10,2,0,3
"E02006539","Cokeham & Sompting","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.53,27.2,3,33.38,26.28,9,339,0.046374829001368,869,0.118878248974008,393,0.054,1589,0.218,81.7,5,2,0,0
"E02006540","Marsh Barn & Widewater","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.52,26.86,4,33.18,26.27,9,336,0.0580110497237569,727,0.125517955801105,307,0.054,1277,0.223,82.8,7,1,0,1
"E02006541","South Lancing","highest heat risk","Highest heat risk","High heat and enhanced risk",38.28,27.24,3,32.84,26.18,9,353,0.045146438163448,1066,0.136334569638061,485,0.062,1608,0.207,80.5,4,2,0,1
"E02003965","Wigton & Silloth","lower heat risk","Medium heat risk","Lower heat risk",30.47,19.81,10,33.38,24.59,10,436,0.0395931710860879,1321,0.119960043588812,113,0.01,2274,0.207,80.2,4,8,1,3
"E02003966","Boltons, Warnell & Solway Coast","lower heat risk","Lowest heat risk","Lower heat risk",29.79,19.66,10,33.19,25.34,10,236,0.033883704235463,788,0.113137114142139,85,0.012,1136,0.162,83.2,8,0,0,1
"E02003967","Aspatria & Abbeytown","lower heat risk","Medium heat risk","Lower heat risk",29.42,19.58,10,32.86,24.45,10,364,0.0447229389359872,862,0.105909816930827,80,0.01,1607,0.198,82.4,6,1,0,0
"E02003968","Maryport, Dearham & Crosby","lower heat risk","Medium heat risk","Lower heat risk",28.67,20.05,10,31.33,23.64,10,363,0.0410169491525424,922,0.104180790960452,109,0.012,1743,0.198,80.7,4,5,0,1
"E02003969","Flimby, Ellenborough & Broughton Moor","lower heat risk","Highest heat risk","Lower heat risk",27.73,19.73,10,31.1,23.41,10,340,0.0522996462082757,562,0.0864482387325027,58,0.009,1580,0.241,76.6,1,5,1,0
"E02003970","West Cockermouth & Great Broughton","lower heat risk","Medium heat risk","Lower heat risk",28.38,18.38,10,32.21,23.53,10,311,0.0374337987481945,885,0.10652383245065,203,0.025,1436,0.175,82.5,7,3,0,0
"E02003971","East Cockermouth & Buttermere","lower heat risk","Lowest heat risk","Lower heat risk",27.87,18.75,10,32.3,24.66,10,295,0.0370975855130785,998,0.125503018108652,181,0.023,1356,0.175,82.6,7,1,1,3
"E02003972","Workington North & Seaton","lower heat risk","Medium heat risk","Lower heat risk",28.31,20.06,10,31.37,23.57,10,440,0.0491729995529727,823,0.0919758605274922,129,0.014,1750,0.195,82.2,6,2,0,3
"E02003973","Workington West","lower heat risk","Highest heat risk","Lower heat risk",31.83,23,10,31.6,23.76,10,502,0.0576812593358612,577,0.0662989773641273,159,0.018,2221,0.258,76.2,1,1,1,1
"E02003974","Workington East","lower heat risk","Medium heat risk","Lower heat risk",31.95,22.35,10,31.66,23.93,10,428,0.0556494604082694,735,0.0955662462618645,85,0.011,1693,0.221,78.2,2,4,0,1
"E02003975","Harrington, Stainburn & Great Clifton","lower heat risk","Lowest heat risk","Lower heat risk",28.7,19.73,10,31.78,23.8,10,323,0.0443255111843008,806,0.11060793193358,84,0.012,1301,0.18,80.3,4,7,0,2
"E02003976","Keswick & Derwent Valley","lower heat risk","Lowest heat risk","Lower heat risk",27.82,19.19,10,32.17,25.84,10,144,0.0232295531537345,885,0.14276496209066,200,0.032,1107,0.176,84.5,9,2,1,1
"E02004029","Alfreton","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.35,24.9,8,38.9,29.33,2,423,0.0561827599946872,544,0.0722539513879665,265,0.036,1679,0.229,79.1,3,4,1,2
"E02004030","Crich, Holloway & Wingfield","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.53,23.86,9,38.22,29.44,2,237,0.0381274131274131,817,0.131435006435006,93,0.015,1173,0.194,82.6,7,2,0,0
"E02004031","Somercotes & Pye Bridge","highest heat risk","Highest heat risk","High heat and enhanced risk",38.62,25.7,6,38.95,29.26,2,502,0.0667819608886524,462,0.061460689104696,207,0.028,1923,0.257,77.2,1,4,0,0
"E02004032","Swanwick & Leabrooks","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.68,25.2,8,38.82,29.25,2,365,0.0430272309324531,906,0.106801838972062,145,0.017,1587,0.188,83.1,8,1,0,1
"E02004033","Ripley East, Riddings & Ironville","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.72,24.91,8,38.95,29.15,2,440,0.0494437577255871,798,0.0896729969659512,235,0.026,1877,0.21,79.4,3,7,0,2
"E02004034","Ripley West","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.76,24.65,8,38.74,29.21,2,260,0.0380506366164203,822,0.120298551148837,125,0.018,1337,0.196,83.3,8,1,0,3
"E02004035","Ambergate, Heage & Idridgehay","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.05,23.87,9,37.95,29.25,2,227,0.035264874941743,851,0.132204443063539,125,0.019,1174,0.183,82.9,7,1,0,0
"E02004036","Ripley South & Loscoe","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.33,25.4,7,38.9,29.07,3,552,0.0527825588066552,885,0.0846242111302352,219,0.021,2200,0.213,80.1,3,2,0,1
"E02004037","Belper Far Laund","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.57,25.74,6,38.68,29.22,2,324,0.0412791438399796,678,0.0863804306281055,165,0.021,1232,0.156,84.5,9,0,0,0
"E02004038","Belper Town","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.68,25.15,8,38.7,29.08,3,298,0.0397174463547914,809,0.107823537251766,269,0.036,1597,0.212,80.6,4,5,0,2
"E02004039","Openwoodgate & Holbrook","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38,25.26,7,38.78,28.99,3,306,0.0399477806788512,733,0.0956919060052219,216,0.028,1404,0.181,84,9,2,0,2
"E02004040","Heanor Gate & Aldercar","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.96,24.84,8,39.09,28.9,3,541,0.0560215387801595,700,0.0724862793828311,201,0.021,1745,0.184,81.7,6,1,0,0
"E02004041","Heanor East & Langley Mill","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.99,26.15,5,39.19,28.87,3,303,0.041297533051656,614,0.0836854300122666,161,0.022,1512,0.205,79.4,3,3,0,5
"E02004043","Kilburn & Horsley","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.53,24.51,9,38.93,28.95,3,330,0.0454170107349298,715,0.0984035232590146,163,0.022,1393,0.19,82,6,2,0,0
"E02004044","Duffield, Quarndon & Kirk Langley","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.29,24.55,9,38.2,28.23,5,385,0.0412161438818114,1090,0.116689861899154,629,0.069,1249,0.137,84.6,9,4,0,2
"E02006827","Heanor South & Shipley Park","highest heat risk","Highest heat risk","High heat and enhanced risk",37.9,25.01,8,39.2,28.8,4,446,0.0560371906018344,611,0.0767684382460108,226,0.028,1981,0.247,78.6,2,2,0,1
"E02006542","Arundel","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.97,26.22,5,33.14,25.44,10,167,0.0293239683933275,890,0.156277436347673,184,0.032,971,0.169,84.9,10,2,1,3
"E02006543","Angmering North, Patching & Findon","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.01,26.56,5,33.32,25.54,10,182,0.0321441186859767,789,0.139350052984811,172,0.031,1039,0.186,83.9,9,3,0,1
"E02006544","Westergate, Eastergate & Walberton","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.36,26.78,4,32.98,25.74,10,545,0.0454545454545455,1375,0.114678899082569,418,0.036,2093,0.18,82.7,7,9,0,2
"E02006545","Wick & Toddington","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.99,26.62,4,31.59,25.39,10,867,0.0699532031628207,626,0.0505083104728094,649,0.053,2212,0.182,80,3,1,0,3
"E02006546","Angmering South","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.24,26.6,5,32.19,25.47,10,479,0.0432466594438425,1468,0.132538822679668,455,0.041,2084,0.19,81.8,6,7,0,3
"E02006547","Yapton & Climping","lower heat risk","Medium heat risk","Lower heat risk",36.84,25.85,6,31.67,25.46,10,372,0.053967793413608,660,0.095749310895111,410,0.059,1303,0.189,81.1,5,4,0,2
"E02006548","Rustington North","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.92,26.95,4,31.57,25.37,10,490,0.0501176229927381,1117,0.114247724250793,312,0.032,1834,0.188,82.8,7,2,0,3
"E02006549","Ferring & Kingston Gorse","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.09,27.02,4,31.88,25.57,10,128,0.0204179294943372,1447,0.230818312330515,191,0.031,1233,0.197,84.3,9,4,0,0
"E02006550","Littlehampton East","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.43,27.03,4,31.03,25.32,10,358,0.0375577003776752,1499,0.157259756609316,350,0.036,2081,0.217,81.7,6,4,0,1
"E02006551","East Preston & Rustington East","highest heat risk","Medium heat risk","High heat, not enhanced risk",36.21,26.28,5,31.24,25.35,10,154,0.0194936708860759,2163,0.27379746835443,207,0.026,1873,0.235,84.3,9,6,1,1
"E02006552","Littlehampton West and River","highest heat risk","Highest heat risk","High heat and enhanced risk",38.47,26.57,5,30.77,25.31,10,359,0.0483111290539631,707,0.0951419728165792,611,0.083,1741,0.236,76.3,1,15,0,1
"E02006553","North Bersted","lower heat risk","Lowest heat risk","Lower heat risk",37.27,25.69,6,32.3,25.66,10,561,0.056370578778135,866,0.0870176848874598,491,0.051,1547,0.16,82.3,6,1,0,2
"E02006554","Middleton-on-Sea","lower heat risk","Medium heat risk","Lower heat risk",35.49,25.23,8,31.35,25.52,10,231,0.0348206210431112,1184,0.178474525173349,148,0.022,1336,0.202,84,9,2,0,0
"E02006555","South Bersted","highest heat risk","Highest heat risk","High heat and enhanced risk",38.4,26.87,4,31.88,25.53,10,386,0.0498836908761954,667,0.0861979839751874,360,0.047,1623,0.211,78.2,2,5,0,1
"E02006556","Felpham","lower heat risk","Lowest heat risk","Lower heat risk",36.82,26.01,6,31.36,25.48,10,405,0.0381463690307997,1540,0.145050390882547,339,0.032,1862,0.176,84.2,9,4,0,2
"E02006557","Hawthorn Road","highest heat risk","Highest heat risk","High heat and enhanced risk",38.5,26.96,4,31.6,25.47,10,470,0.0594184576485461,575,0.072692793931732,411,0.053,1569,0.202,80.6,4,7,0,1
"E02006558","Bognor Regis Central","highest heat risk","Highest heat risk","High heat and enhanced risk",38.4,27.16,3,31.48,25.44,10,426,0.0389539136795903,1272,0.116313094367228,752,0.07,2474,0.231,75.1,1,19,0,3
"E02006559","Aldwick","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.72,26.51,5,31.3,25.47,10,221,0.0267943743937924,1874,0.227206595538312,212,0.026,1620,0.198,85.3,10,5,0,1
"E02006560","Nyetimber & Pagham","lower heat risk","Medium heat risk","Lower heat risk",36.28,25.26,7,31.64,25.67,10,310,0.0319192751235585,1644,0.169275123558484,217,0.022,1988,0.205,82.1,6,0,0,1
"E02005819","Stanton Hill & Skegby","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.21,24.68,8,38.61,29.24,2,354,0.0551573698971642,654,0.10190090370832,176,0.028,1536,0.243,79.9,3,1,0,1
"E02005820","The Dales & South Skegby","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.08,26.63,4,38.73,29.46,2,186,0.0337690631808279,666,0.120915032679739,188,0.034,1194,0.216,81.7,5,0,0,0
"E02005821","Huthwaite","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.22,25.43,7,38.78,29.35,2,407,0.0603052304045044,505,0.0748259001333531,257,0.038,1560,0.233,78.1,2,3,0,1
"E02005822","Sutton Forest Side & New Cross","highest heat risk","Highest heat risk","High heat and enhanced risk",40.17,27.47,3,38.84,29.51,2,619,0.0603843527460736,591,0.0576529119110331,648,0.063,2269,0.221,76.7,1,6,4,4
"E02005823","Sutton Central & Leamington","highest heat risk","Highest heat risk","High heat and enhanced risk",39.79,26.4,5,38.74,29.44,2,431,0.0551362415248817,775,0.0991428936932327,399,0.052,2248,0.291,74.4,1,9,0,2
"E02005824","Sutton St Mary's & Ashfields","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.73,25.85,6,38.79,29.39,2,421,0.0430338342021875,842,0.0860676684043749,380,0.039,1969,0.201,82.9,7,3,0,3
"E02005825","East Kirkby","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.85,25.42,7,38.85,29.46,2,409,0.0527537727331356,694,0.0895137366180833,305,0.039,1805,0.232,81.7,5,3,0,2
"E02005826","Kirkby Central","highest heat risk","Highest heat risk","High heat and enhanced risk",40.17,27.07,4,38.85,29.41,2,361,0.0575573979591837,406,0.0647321428571429,319,0.052,1582,0.257,77.6,2,3,0,2
"E02005827","Kirkby Larwood & Kingsway","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.99,25.85,6,39.03,29.35,2,467,0.0491527207662351,722,0.0759920008420166,435,0.046,1814,0.192,81.2,5,2,0,2
"E02005828","Annesley & Kirkby Woodhouse","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.67,24.76,8,39.14,29.16,2,377,0.0485074626865672,803,0.10331960885229,292,0.038,1647,0.214,81.8,6,3,1,1
"E02005829","Selston","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.85,25.14,8,39.28,29.24,2,283,0.0435719784449577,686,0.105619707467283,138,0.021,1501,0.228,80,3,3,0,1
"E02005830","Jacksdale & Underwood","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.95,24.92,8,39.35,29.1,3,234,0.0392551585304479,687,0.115249119275289,129,0.022,1224,0.208,82.1,6,1,0,0
"E02005831","Hucknall North & East","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.99,26.11,5,39.86,29.38,2,625,0.0588678534425921,753,0.0709239898276349,787,0.074,1951,0.184,81.7,5,3,0,3
"E02005832","Hucknall Town","highest heat risk","Highest heat risk","High heat and enhanced risk",40.69,27.15,3,39.73,29.29,2,525,0.055403123680878,713,0.0752427184466019,691,0.074,2066,0.222,79.9,3,7,0,4
"E02005833","West Hucknall","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.23,25.83,6,39.44,29.24,2,313,0.0413037740828715,776,0.102401689100026,283,0.037,1445,0.189,83,8,1,0,1
"E02005834","Hucknall Westville","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.84,26.45,5,39.81,29.47,2,695,0.0753142609449502,662,0.0717381881231036,727,0.082,1991,0.224,77.7,2,5,0,1
"E02004996","Wye, Chilham & Kennington","lower heat risk","Lowest heat risk","Lower heat risk",37.36,25.82,6,38.32,27.58,7,412,0.048625044258232,858,0.101262834887289,635,0.075,1347,0.16,82.8,7,2,0,1
"E02004997","Charing, Pluckley & Challock","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.98,26.63,4,38.2,27.36,8,320,0.0374926772114821,1052,0.123257176332748,278,0.034,1543,0.188,83.3,8,6,0,1
"E02004998","Kennington & Little Burton Farm","highest heat risk","Lowest heat risk","High heat, not enhanced risk",39.36,27.67,3,38.51,27.8,7,273,0.039778522512021,748,0.108990237505464,692,0.102,1160,0.171,84.1,9,3,0,1
"E02005000","Ashford Central","highest heat risk","Highest heat risk","High heat and enhanced risk",40.8,28.7,1,38.6,27.84,7,861,0.069750486066105,585,0.0473914452365522,2764,0.228,2035,0.168,79.1,3,1,0,4
"E02005001","Highfield & Willesborough","highest heat risk","Lowest heat risk","High heat, not enhanced risk",39.4,27.8,2,38.58,27.88,7,574,0.0575496290354923,813,0.0815119310206537,1385,0.145,1649,0.172,80.9,4,4,3,1
"E02005002","Beaver & Singleton","highest heat risk","Highest heat risk","High heat and enhanced risk",40.53,28.34,2,38.55,27.77,7,729,0.0709696261682243,623,0.0606503115264798,1654,0.165,1840,0.183,79.7,3,2,0,3
"E02005003","Washford & Stanhope","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.13,27.94,2,38.53,27.75,7,650,0.0693037637274763,338,0.0360379571382877,1785,0.193,1633,0.177,79.5,3,2,0,2
"E02005004","Park Farm","highest heat risk","Lowest heat risk","High heat, not enhanced risk",39.66,27.72,3,38.58,27.85,7,723,0.0609972158947102,553,0.0466548553108918,1685,0.143,1855,0.157,80.6,4,1,0,4
"E02005005","Brabourne Lees & North Romney","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.79,26.97,4,38.35,27.77,7,702,0.0644628099173554,830,0.0762167125803489,707,0.068,1557,0.15,84,9,7,0,1
"E02005006","Biddenden, Smarden & High Halden","lower heat risk","Lowest heat risk","Lower heat risk",38.35,25.45,7,38.04,26.8,9,276,0.0429505135387488,792,0.123249299719888,202,0.033,1061,0.171,82.7,7,1,0,1
"E02005007","Great Chart, Bethersden & Woodchurch","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.54,26.14,5,38.37,27.37,8,540,0.056232427366448,949,0.0988232843902947,583,0.062,1610,0.172,82.7,7,7,0,3
"E02005008","Tenterden & Rolvenden","lower heat risk","Medium heat risk","Lower heat risk",38.94,26.06,6,38,27.23,8,370,0.0420645748067303,1642,0.186675761709868,279,0.032,1689,0.193,83,7,3,0,4
"E02005009","Hamstreet & Isle of Oxney","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.74,26.42,5,38.31,27.53,7,241,0.0393148450244698,743,0.121207177814029,156,0.026,1080,0.181,83.9,9,1,0,1
"E02007046","Bybrook","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.14,27.71,3,38.51,27.8,7,398,0.0563899121564182,702,0.0994616038537829,1110,0.158,1424,0.203,81.3,5,3,0,4
"E02007047","Godinton, Repton & Orchard Heights","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.37,27.02,4,38.56,27.77,7,615,0.06822720213002,320,0.0355003328156201,1934,0.219,1169,0.132,81.3,5,0,0,3
"E02006227","Lavenham, Bildeston & Brettenham","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.21,26.17,5,37.88,27.46,8,226,0.0345512918513989,918,0.140345512918514,127,0.02,1157,0.18,85.7,10,1,0,0
"E02006228","Glemsford & Lawshall","highest heat risk","Lowest heat risk","High heat, not enhanced risk",40.42,26.17,5,38,27.01,8,317,0.0510302640051513,663,0.106728911783645,111,0.018,984,0.16,83,7,2,0,0
"E02006229","North Sudbury & Long Melford","lower heat risk","Lowest heat risk","Lower heat risk",40.15,25.98,6,38.12,27.06,8,234,0.0372255806554248,971,0.154470251352211,124,0.02,1154,0.187,85,10,2,0,1
"E02006230","Hadleigh","highest heat risk","Lowest heat risk","High heat, not enhanced risk",40.25,26.09,5,36.84,27.01,8,485,0.0433035714285714,1482,0.132321428571429,462,0.042,1882,0.171,82.6,7,4,0,2
"E02006231","Sproughton, Washbrook & Hintlesham","lower heat risk","Lowest heat risk","Lower heat risk",39.26,25.71,6,36.96,27.07,8,456,0.0500274273176083,799,0.0876577070762479,541,0.063,1377,0.16,82.8,7,3,0,3
"E02006232","Acton, Great Waldingfield & Bures","lower heat risk","Lowest heat risk","Lower heat risk",40.04,25.88,6,38.05,27.39,8,286,0.0446735395189003,700,0.109340830990316,121,0.02,1013,0.165,82.8,7,0,0,0
"E02006233","Sudbury","lower heat risk","Medium heat risk","Lower heat risk",40.13,25.79,6,38.19,27.28,8,598,0.0507640067911715,1508,0.128013582342954,558,0.048,2435,0.21,81.3,5,7,0,3
"E02006234","Great Cornard","highest heat risk","Lowest heat risk","High heat, not enhanced risk",40.33,26.2,5,38.2,27.46,8,534,0.0534481032929637,878,0.0878790911820639,289,0.029,1775,0.178,80.5,4,4,0,1
"E02006235","Leavenheath, Nayland & Boxford","lower heat risk","Medium heat risk","Lower heat risk",39.52,25.72,6,37.76,27.3,8,303,0.0366384522370012,1097,0.132648125755744,185,0.023,1357,0.165,84.5,9,2,0,2
"E02006236","East Bergholt, Brantham & Capel St Mary","lower heat risk","Lowest heat risk","Lower heat risk",38.6,25.3,7,37.63,27.06,8,364,0.0342717258261934,1384,0.130307880613878,264,0.025,1649,0.158,85.3,10,0,0,6
"E02006237","Shotley Peninsula","lower heat risk","Lowest heat risk","Lower heat risk",36.37,25.17,8,36.62,26.99,9,285,0.0362641557450057,1002,0.127497137040336,289,0.038,1384,0.182,83.5,8,2,0,3
"E02000002","Marks Gate","highest heat risk","Highest heat risk","High heat and enhanced risk",41.57,27.24,3,39.5,29.09,3,607,0.0723998091603053,508,0.0605916030534351,4239,0.512,1286,0.155,80.2,4,2,0,3
"E02000003","Chadwell Heath East","highest heat risk","Highest heat risk","High heat and enhanced risk",42.64,28.85,1,39.52,29.15,2,1014,0.0859103617724307,616,0.0521901211556384,6846,0.593,1413,0.122,81.4,5,0,0,4
"E02000004","Eastbrookend","highest heat risk","Medium heat risk","High heat, not enhanced risk",41.81,28.1,2,39.58,29.26,2,430,0.0625909752547307,557,0.0810771470160116,2467,0.371,995,0.15,79.8,3,3,0,1
"E02000005","Becontree Heath","highest heat risk","Highest heat risk","High heat and enhanced risk",43.01,29.07,1,39.59,29.29,2,902,0.0816585189208763,369,0.0334057577403585,6164,0.556,1387,0.125,81.4,5,0,0,2
"E02000007","Central Park & Frizlands Lane","highest heat risk","Highest heat risk","High heat and enhanced risk",42.74,28.83,1,39.58,29.31,2,728,0.0715690129767991,434,0.0426661423515533,4980,0.49,1603,0.158,79.1,2,1,0,2
"E02000008","Becontree East","highest heat risk","Highest heat risk","High heat and enhanced risk",43.39,29.04,1,39.64,29.39,2,878,0.066129396701062,447,0.0336672441063493,6015,0.454,2084,0.157,78.5,2,0,0,4
"E02000009","Becontree West","highest heat risk","Highest heat risk","High heat and enhanced risk",43.53,29.12,1,39.65,29.41,2,1011,0.0786770428015564,313,0.0243579766536965,7196,0.559,1578,0.123,79.5,3,0,0,1
"E02000010","Dagenham North","highest heat risk","Highest heat risk","High heat and enhanced risk",43.4,28.83,1,39.62,29.36,2,671,0.0709602368866328,314,0.0332064297800338,4054,0.427,1292,0.136,80.7,4,0,0,0
"E02000011","Dagenham Eastbrook","highest heat risk","Highest heat risk","High heat and enhanced risk",41.38,27.91,2,39.6,29.3,2,516,0.0730567747416112,421,0.0596063995469347,3399,0.484,971,0.138,77.2,1,3,0,3
"E02000012","Longbridge & Barking Park","highest heat risk","Highest heat risk","High heat and enhanced risk",43.2,29.29,1,39.67,29.49,2,796,0.0682675814751286,536,0.0459691252144082,8533,0.741,1342,0.117,82.4,6,0,2,1
"E02000013","Becontree South","highest heat risk","Highest heat risk","High heat and enhanced risk",43.5,29.09,1,39.68,29.46,2,724,0.0766461994495024,314,0.0332415837391488,4107,0.437,1368,0.146,80.7,4,0,0,4
"E02000014","Dagenham Central","highest heat risk","Highest heat risk","High heat and enhanced risk",43.54,28.91,1,39.65,29.41,2,624,0.0636020792987463,386,0.039343593925186,3917,0.397,1500,0.152,79.9,3,1,0,1
"E02000015","Old Dagenham Park & Village","highest heat risk","Highest heat risk","High heat and enhanced risk",42.56,28.63,1,39.63,29.38,2,634,0.0774209305165466,262,0.0319941384784467,4270,0.519,1155,0.14,78.9,2,0,0,5
"E02000016","Barking Central","highest heat risk","Highest heat risk","High heat and enhanced risk",42.64,29.21,1,39.68,29.56,1,1052,0.0987144599793563,66,0.00619311250821057,7669,0.726,1021,0.097,80.2,4,0,0,4
"E02000017","Barking East","highest heat risk","Highest heat risk","High heat and enhanced risk",42.88,29.31,1,39.67,29.52,2,619,0.0677761962115406,238,0.0260593452315778,6234,0.683,1090,0.119,83.8,9,4,0,2
"E02000018","Mayesbrook Park & Rippleside","highest heat risk","Highest heat risk","High heat and enhanced risk",42.7,29.16,1,39.68,29.48,2,749,0.0794020990140994,278,0.0294710060426163,4573,0.479,1356,0.142,79.8,3,0,0,0
"E02000019","Goresbrook & Scrattons Farm","highest heat risk","Highest heat risk","High heat and enhanced risk",42.62,28.54,1,39.67,29.45,2,808,0.0838870431893688,240,0.0249169435215947,4624,0.479,1385,0.143,78.9,2,2,0,2
"E02000020","Creekmouth & Barking Riverside","highest heat risk","Highest heat risk","High heat and enhanced risk",41.11,28.44,1,39.68,29.53,1,1290,0.0909090909090909,388,0.0273431994362227,9040,0.643,1514,0.108,81.4,5,3,0,4
"E02000021","Rylands Estate & Dagenham Dock","highest heat risk","Highest heat risk","High heat and enhanced risk",40.45,27.29,3,39.64,29.37,2,611,0.0692429737080689,334,0.0378513145965549,4780,0.545,1091,0.125,76.6,1,1,0,0
"E02000022","Gascoigne Estate & Roding Riverside","highest heat risk","Highest heat risk","High heat and enhanced risk",41.35,28.44,1,39.69,29.56,1,881,0.111055086348166,34,0.00428589436530947,5402,0.698,757,0.098,84.3,9,0,0,3
"E02000023","Thames View","highest heat risk","Highest heat risk","High heat and enhanced risk",41.07,28.52,1,39.68,29.51,2,655,0.0806451612903226,137,0.0168677665599606,5415,0.675,1049,0.131,79.7,3,1,0,5
"E02006799","Becontree North","highest heat risk","Highest heat risk","High heat and enhanced risk",43.31,29.1,1,39.62,29.34,2,871,0.0723361847022673,424,0.035213022174238,6667,0.554,1753,0.146,77.6,2,1,0,7
"E02000024","High Barnet & Hadley","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.24,25.87,6,39.03,28.81,4,563,0.051932478553639,1049,0.0967622913015404,2858,0.264,1524,0.141,83.6,8,5,0,4
"E02000025","Hadley Wood","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.03,26.6,5,38.98,28.85,3,479,0.0566193853427896,587,0.0693853427895981,2551,0.297,1343,0.156,83,7,0,1,3
"E02000026","Oak Hill","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.85,27.14,3,39.25,28.98,3,410,0.0648323845667299,562,0.0888678051865908,1954,0.303,875,0.136,85.6,10,2,0,0
"E02000027","Ducks Island & Underhill","highest heat risk","Highest heat risk","High heat and enhanced risk",40.55,26.79,4,39.19,28.92,3,467,0.0492304448661185,699,0.0736875395319418,3753,0.389,1542,0.16,80.7,4,6,2,1
"E02000028","New Barnet West","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.51,27.25,3,39.25,28.99,3,370,0.0578396123182742,459,0.0717523839299672,2364,0.362,810,0.124,84.2,9,1,0,3
"E02000029","New Barnet Town & East Barnet","highest heat risk","Highest heat risk","High heat and enhanced risk",40.93,27.85,2,39.21,28.98,3,725,0.0767601905770249,466,0.0493382742191636,3325,0.344,1284,0.133,83.4,8,0,0,2
